module,status,message
cellranger,ok,completed
qc,ok,completed
doublet_detection,ok,completed
clustering,ok,completed
annotation,ok,completed
batch_correction,ok,completed
cell_cycle,ok,completed
differential_expression,ok,completed
gene_signature_scoring,ok,completed
metacell,ok,completed
paper_repro,ok,completed
trajectory,ok,completed
cell_communication,ok,completed
composition,ok,completed
immune_phenotyping,ok,completed
tumor_microenvironment,ok,completed
pathway_analysis,ok,completed
pseudobulk_de,failed,_cs_matrix.sum() got an unexpected keyword argument 'keepdims'
validate_cbioportal,ok,completed
cell_fate,ok,completed
pseudo_velocity,ok,completed
