ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Myeloid/Macro,Mast cell,1.4071,2.5294,3.5591
SPP1,CD44,Myeloid/Macro,Myeloid/Macro,1.4071,1.8373,2.5853
SPP1,CD44,Myeloid/Macro,Unknown,1.4071,1.8285,2.5728
SPP1,CD44,Myeloid/Macro,T cell,1.4071,1.7703,2.491
SPP1,CD44,Myeloid/Macro,NK cell,1.4071,1.7182,2.4176
SPP1,CD44,Myeloid/Macro,Dendritic cell,1.4071,1.5537,2.1863
TGFB1,TGFBR2,NK cell,Endothelial,1.8309,1.1407,2.0884
SPP1,CD44,Myeloid/Macro,B cell,1.4071,1.4617,2.0568
SPP1,CD44,Myeloid/Macro,Fibroblast,1.4071,1.2495,1.7582
TGFB1,TGFBR2,T cell,Endothelial,1.4954,1.1407,1.7058
TGFB1,TGFBR2,Unknown,Endothelial,1.4689,1.1407,1.6756
SPP1,CD44,Myeloid/Macro,Plasma cell,1.4071,1.1263,1.5848
TGFB1,TGFBR2,Myeloid/Macro,Endothelial,1.1397,1.1407,1.3001
TGFB1,TGFBR2,Endothelial,Endothelial,1.0508,1.1407,1.1986
TGFB1,TGFBR2,Mast cell,Endothelial,1.0175,1.1407,1.1606
TGFB1,TGFBR2,B cell,Endothelial,0.9361,1.1407,1.0678
TGFB1,TGFBR2,NK cell,Unknown,1.8309,0.5582,1.0221
TGFB1,TGFBR2,Plasma cell,Endothelial,0.8928,1.1407,1.0184
SPP1,CD44,Myeloid/Macro,Endothelial,1.4071,0.7159,1.0073
VEGFA,FLT1,Mast cell,Endothelial,1.1046,0.8809,0.973
TGFB1,TGFBR2,NK cell,T cell,1.8309,0.5244,0.9602
TGFB1,TGFBR2,Dendritic cell,Endothelial,0.7559,1.1407,0.8623
SPP1,CD44,Myeloid/Macro,Tumor epithelial,1.4071,0.6018,0.8468
TGFB1,TGFBR2,T cell,Unknown,1.4954,0.5582,0.8348
TGFB1,TGFBR2,NK cell,Fibroblast,1.8309,0.4485,0.8212
TGFB1,TGFBR2,Unknown,Unknown,1.4689,0.5582,0.82
TGFB1,TGFBR2,T cell,T cell,1.4954,0.5244,0.7843
TGFB1,TGFBR2,NK cell,NK cell,1.8309,0.4236,0.7756
TGFB1,TGFBR2,Unknown,T cell,1.4689,0.5244,0.7704
TGFB1,TGFBR2,NK cell,B cell,1.8309,0.3945,0.7222
TGFB1,TGFBR2,Fibroblast,Endothelial,0.6014,1.1407,0.686
CXCL12,CXCR4,Fibroblast,T cell,0.3063,2.2232,0.6809
VEGFA,FLT1,Myeloid/Macro,Endothelial,0.7644,0.8809,0.6734
TGFB1,TGFBR2,T cell,Fibroblast,1.4954,0.4485,0.6708
CXCL12,CXCR4,Fibroblast,B cell,0.3063,2.1868,0.6697
TGFB1,TGFBR2,Unknown,Fibroblast,1.4689,0.4485,0.6589
TGFB1,TGFBR2,Tumor epithelial,Endothelial,0.5774,1.1407,0.6586
TGFB1,TGFBR2,Myeloid/Macro,Unknown,1.1397,0.5582,0.6362
TGFB1,TGFBR2,T cell,NK cell,1.4954,0.4236,0.6335
CXCL12,CXCR4,Fibroblast,NK cell,0.3063,2.0664,0.6329
TGFB1,TGFBR2,Unknown,NK cell,1.4689,0.4236,0.6223
TGFB1,TGFBR2,Myeloid/Macro,T cell,1.1397,0.5244,0.5977
TGFB1,TGFBR2,T cell,B cell,1.4954,0.3945,0.5899
TGFB1,TGFBR2,Endothelial,Unknown,1.0508,0.5582,0.5866
CXCL12,CXCR4,Fibroblast,Unknown,0.3063,1.8983,0.5814
TGFB1,TGFBR2,Unknown,B cell,1.4689,0.3945,0.5794
SPP1,CD44,Plasma cell,Mast cell,0.2266,2.5294,0.5732
TGFB1,TGFBR2,Mast cell,Unknown,1.0175,0.5582,0.568
TGFB1,TGFBR2,Endothelial,T cell,1.0508,0.5244,0.5511
TGFB1,TGFBR2,Mast cell,T cell,1.0175,0.5244,0.5336
VEGFA,FLT1,Fibroblast,Endothelial,0.6013,0.8809,0.5297
TGFB1,TGFBR2,NK cell,Dendritic cell,1.8309,0.2876,0.5266
TGFB1,TGFBR2,B cell,Unknown,0.9361,0.5582,0.5226
TGFB1,TGFBR2,Myeloid/Macro,Fibroblast,1.1397,0.4485,0.5112
TGFB1,TGFBR2,Plasma cell,Unknown,0.8928,0.5582,0.4984
TGFB1,TGFBR2,B cell,T cell,0.9361,0.5244,0.4909
TGFB1,TGFBR2,Myeloid/Macro,NK cell,1.1397,0.4236,0.4828
TGFB1,TGFBR2,NK cell,Myeloid/Macro,1.8309,0.2636,0.4826
TGFB1,TGFBR2,Endothelial,Fibroblast,1.0508,0.4485,0.4713
TGFB1,TGFBR2,Plasma cell,T cell,0.8928,0.5244,0.4682
CXCL12,CXCR4,Fibroblast,Dendritic cell,0.3063,1.493,0.4573
TGFB1,TGFBR2,Mast cell,Fibroblast,1.0175,0.4485,0.4564
TGFB1,TGFBR2,Myeloid/Macro,B cell,1.1397,0.3945,0.4496
TGFB1,TGFBR2,Endothelial,NK cell,1.0508,0.4236,0.4451
TGFB1,TGFBR2,Mast cell,NK cell,1.0175,0.4236,0.431
TGFB1,TGFBR2,T cell,Dendritic cell,1.4954,0.2876,0.4301
SPP1,CD44,Fibroblast,Mast cell,0.1672,2.5294,0.4229
TGFB1,TGFBR2,Unknown,Dendritic cell,1.4689,0.2876,0.4225
TGFB1,TGFBR2,Dendritic cell,Unknown,0.7559,0.5582,0.422
TGFB1,TGFBR2,B cell,Fibroblast,0.9361,0.4485,0.4199
SPP1,CD44,Plasma cell,Myeloid/Macro,0.2266,1.8373,0.4164
TGFB1,TGFBR2,Endothelial,B cell,1.0508,0.3945,0.4145
SPP1,CD44,Plasma cell,Unknown,0.2266,1.8285,0.4144
TGFB1,TGFBR2,Mast cell,B cell,1.0175,0.3945,0.4014
SPP1,CD44,Plasma cell,T cell,0.2266,1.7703,0.4012
TGFB1,TGFBR2,Plasma cell,Fibroblast,0.8928,0.4485,0.4005
CCL5,CCR5,NK cell,Dendritic cell,3.3703,0.1186,0.3996
TGFB1,TGFBR2,B cell,NK cell,0.9361,0.4236,0.3966
TGFB1,TGFBR2,Dendritic cell,T cell,0.7559,0.5244,0.3964
VEGFA,FLT1,Tumor epithelial,Endothelial,0.4476,0.8809,0.3943
TGFB1,TGFBR2,T cell,Myeloid/Macro,1.4954,0.2636,0.3942
SPP1,CD44,Plasma cell,NK cell,0.2266,1.7182,0.3894
CXCL12,CXCR4,Fibroblast,Myeloid/Macro,0.3063,1.2666,0.3879
TGFB1,TGFBR2,Unknown,Myeloid/Macro,1.4689,0.2636,0.3872
SPP1,CD44,Dendritic cell,Mast cell,0.1526,2.5294,0.386
TGFB1,TGFBR2,Plasma cell,NK cell,0.8928,0.4236,0.3782
TGFB1,TGFBR2,NK cell,Mast cell,1.8309,0.2045,0.3745
TGFB1,TGFBR2,NK cell,Plasma cell,1.8309,0.2018,0.3696
TGFB1,TGFBR2,B cell,B cell,0.9361,0.3945,0.3692
TGFB1,TGFBR2,Plasma cell,B cell,0.8928,0.3945,0.3522
SPP1,CD44,Plasma cell,Dendritic cell,0.2266,1.5537,0.3521
IL6,IL6R,Fibroblast,Myeloid/Macro,0.4471,0.7741,0.3461
CXCL12,CXCR4,Fibroblast,Plasma cell,0.3063,1.1087,0.3396
TGFB1,TGFBR2,Dendritic cell,Fibroblast,0.7559,0.4485,0.3391
