group,names,scores,logfoldchanges,pvals,pvals_adj
Clone_1,RPS8,12.885957,0.3008962,5.40014459674894e-38,1.0150887189427303e-35
Clone_1,RPL18A,11.387161,0.31678507,4.84520543665871e-30,5.822983779695903e-28
Clone_1,RPL36,11.276233,0.215618,1.719539233365908e-29,1.959472868363545e-27
Clone_1,RPS5,11.240236,0.40258935,2.586899237620541e-29,2.888003803705003e-27
Clone_1,RPL13,11.131317,0.21617302,8.832066968579017e-29,9.338636963459535e-27
Clone_1,RPL39,11.047175,0.17871132,2.262198871457083e-28,2.3468179141488507e-26
Clone_1,RPL30,10.6921625,0.26086438,1.1075824235832878e-26,1.0107493876293464e-24
Clone_1,RPS4X,10.595963,0.19885105,3.111250634443225e-26,2.7591022259399133e-24
Clone_1,RPS12,10.503872,0.1709966,8.290839353089917e-26,7.040171038320715e-24
Clone_1,RPL3,10.396812,0.27284154,2.5636562114887967e-25,2.0728857007085702e-23
Clone_1,RPS21,10.311622,0.21321493,6.243894539072249e-25,4.9396393020797104e-23
Clone_1,RPL35A,10.301092,0.28426993,6.966563879764682e-25,5.452513857924009e-23
Clone_1,RPS18,10.294313,0.21038316,7.47511748732448e-25,5.829796414848485e-23
Clone_1,RPL41,10.075636,0.09548826,7.080156380287219e-24,5.242891557968243e-22
Clone_1,RPL29,10.074555,0.19951425,7.158361761490711e-24,5.283015108069303e-22
Clone_1,RPL18,10.049928,0.16373894,9.193439414811932e-24,6.739710434998626e-22
Clone_1,RPL32,10.045878,0.1848027,9.579020730217726e-24,6.975874268863524e-22
Clone_1,RPL8,9.989244,0.20618546,1.698716175261161e-23,1.1974315654653434e-21
Clone_1,RPS7,9.887195,0.24944372,4.730986270781643e-23,3.231322392959648e-21
Clone_1,RPL13A,9.843459,0.30195335,7.315133761941379e-23,4.919930789797454e-21
Clone_1,RPL37,9.775967,0.19476263,1.4278817267514965e-22,9.430451296229929e-21
Clone_1,RPL24,9.757368,0.27378938,1.715491551932065e-22,1.116236855078163e-20
Clone_1,RPLP1,9.723832,0.07476077,2.3862898339849653e-22,1.5390519741592768e-20
Clone_1,DNAJB1,9.590856,1.1551263,8.735778903756957e-22,5.396797343548504e-20
