cluster,term,overlap,gene_set_size,pval,genes,padj
16,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7,13,5.445458234782386e-14,"ACTA2,COL1A1,COL3A1,FN1,SPARC,TAGLN,THY1",2.39600162330425e-12
8,HALLMARK_INTERFERON_GAMMA_RESPONSE,5,14,3.404464234377607e-09,"B2M,HLA-A,HLA-B,HLA-C,IRF1",7.489821315630735e-08
10,HALLMARK_ANGIOGENESIS,4,12,1.9367227221870655e-07,"CDH5,COL4A1,FLT1,PECAM1",2.8405266592076963e-06
0,HALLMARK_INTERFERON_GAMMA_RESPONSE,4,14,3.8891988311757957e-07,"B2M,HLA-A,HLA-B,HLA-C",4.2781187142933754e-06
16,HALLMARK_ANGIOGENESIS,3,12,1.9478113069322655e-05,"COL4A1,PDGFRB,THBS1",0.00017140739501003937
7,HALLMARK_TNFA_SIGNALING_VIA_NFKB,2,14,0.00036674501681286276,"CD83,NFKBIA",0.00268946345662766
0,HALLMARK_MYC_TARGETS_V1,2,13,0.0015452219146987504,"LDHA,NPM1",0.006590551298810993
5,HALLMARK_HYPOXIA,2,14,0.0017974230814939071,"GAPDH,TPI1",0.006590551298810993
8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,2,14,0.0017974230814939071,"JUNB,TNFAIP3",0.006590551298810993
6,HALLMARK_TNFA_SIGNALING_VIA_NFKB,2,14,0.0017974230814939071,"JUNB,TNFAIP3",0.006590551298810993
10,HALLMARK_INFLAMMATORY_RESPONSE,2,14,0.0017974230814939071,"CCL2,ICAM1",0.006590551298810993
8,HALLMARK_INFLAMMATORY_RESPONSE,2,14,0.0017974230814939071,"CCL5,IRF1",0.006590551298810993
7,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.028275849853480618,B2M,0.06182678767281298
7,HALLMARK_INFLAMMATORY_RESPONSE,1,14,0.028275849853480618,CXCL8,0.06182678767281298
15,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.041215549170533584,TNFAIP3,0.06182678767281298
3,HALLMARK_ANGIOGENESIS,1,12,0.05323176407001391,VEGFA,0.06182678767281298
12,HALLMARK_ANGIOGENESIS,1,12,0.05323176407001391,VEGFA,0.06182678767281298
6,HALLMARK_MYC_TARGETS_V1,1,13,0.05753897591629019,NPM1,0.06182678767281298
10,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1,13,0.05753897591629019,SPARC,0.06182678767281298
12,HALLMARK_APOPTOSIS,1,13,0.05753897591629019,LMNA,0.06182678767281298
8,HALLMARK_MYC_TARGETS_V1,1,13,0.05753897591629019,HSPD1,0.06182678767281298
4,HALLMARK_MYC_TARGETS_V1,1,13,0.05753897591629019,HSPD1,0.06182678767281298
4,HALLMARK_APOPTOSIS,1,13,0.05753897591629019,PMAIP1,0.06182678767281298
1,HALLMARK_MYC_TARGETS_V1,1,13,0.05753897591629019,HSPD1,0.06182678767281298
11,HALLMARK_APOPTOSIS,1,13,0.05753897591629019,BID,0.06182678767281298
12,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1,13,0.05753897591629019,VIM,0.06182678767281298
0,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,TNFAIP3,0.06182678767281298
4,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-DRA,0.06182678767281298
4,HALLMARK_P53_PATHWAY,1,14,0.06182678767281298,PMAIP1,0.06182678767281298
0,HALLMARK_HYPOXIA,1,14,0.06182678767281298,LDHA,0.06182678767281298
1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,JUNB,0.06182678767281298
1,HALLMARK_P53_PATHWAY,1,14,0.06182678767281298,BTG2,0.06182678767281298
11,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-DRA,0.06182678767281298
9,HALLMARK_P53_PATHWAY,1,14,0.06182678767281298,GADD45A,0.06182678767281298
8,HALLMARK_P53_PATHWAY,1,14,0.06182678767281298,BTG2,0.06182678767281298
2,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-DRA,0.06182678767281298
4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,CD83,0.06182678767281298
3,HALLMARK_HYPOXIA,1,14,0.06182678767281298,VEGFA,0.06182678767281298
0,HALLMARK_INFLAMMATORY_RESPONSE,1,14,0.06182678767281298,CCL5,0.06182678767281298
12,HALLMARK_HYPOXIA,1,14,0.06182678767281298,VEGFA,0.06182678767281298
14,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-DRA,0.06182678767281298
14,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,CD83,0.06182678767281298
12,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,NFKBIA,0.06182678767281298
16,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,IER3,0.06182678767281298
