leiden,count,mean,median,std
0,406,0.00057608,0.0004222651,0.0005308396
1,122,0.0014910905,0.00086821115,0.0032467744
2,328,0.002903554,0.002309907,0.0042145615
3,92,0.0025070712,0.0015035042,0.0022837024
4,145,0.0014544068,0.0010373098,0.0020008485
5,155,0.0042560264,0.0032749344,0.0032468159
6,279,0.0012560788,0.00072528236,0.0022957348
7,16,0.0055671106,0.0017653203,0.0087236855
8,267,0.00091733877,0.0006579493,0.0008132973
9,67,0.029096404,0.0011501283,0.07123291
10,31,0.00083397765,0.0006285922,0.00094466587
11,51,0.0034224158,0.002642208,0.0027571504
12,81,0.007034198,0.0045202593,0.008145872
13,48,0.0065944535,0.0017804158,0.013224389
14,205,0.0010784225,0.00091739063,0.00087102584
15,57,0.0029227843,0.0016158446,0.0034123515
16,27,0.0028267663,0.0011213676,0.005215447
