group,names,scores,logfoldchanges,pvals,pvals_adj
0,CCL5,26.317142,5.0237823,1.220771215213284e-152,2.6848421336185755e-148
0,CD8A,22.11541,4.3165793,2.246591252405974e-108,2.4704640707082295e-104
0,HLA-B,21.382172,1.3702906,1.958003967549973e-101,1.4354127086108854e-97
0,CD7,20.512785,3.2020466,1.6553841531982952e-93,9.101715920322527e-90
0,ZFP36L2,19.186749,2.2773218,4.776108482693963e-82,2.1008190771977666e-78
0,GZMB,18.88328,4.216318,1.5655474989029405e-79,5.738514357228729e-76
0,CST7,18.836071,3.0878618,3.8231797106678086e-79,1.2011884482388158e-75
0,CD3E,18.525415,2.698905,1.2880306646012901e-76,3.540957300822022e-73
0,CTSW,18.479874,3.3391545,2.9987889236954887e-76,7.328040533203876e-73
0,CD3D,18.239498,2.8523014,2.5074826887930378e-74,5.438219482820055e-71
0,TUBA4A,18.235052,2.5483758,2.7199751880607743e-74,5.438219482820055e-71
0,FYN,17.810682,2.3617976,5.839459883080004e-71,1.0702270100714878e-67
0,HLA-C,17.801628,1.1814827,6.864335417201799e-71,1.1612871448501474e-67
0,GZMA,17.642569,3.6195066,1.1606199587480695e-69,1.8232510537675921e-66
0,SYTL3,17.540129,2.332612,7.076590501510049e-69,1.0375696993314033e-65
0,CALM1,17.500504,1.3956478,1.420078703318852e-68,1.9519869326307197e-65
0,NKG7,17.416685,3.2398045,6.164607291272903e-68,7.975188715115586e-65
0,DUSP4,17.287485,2.4763143,5.84474858331586e-67,7.141308644048095e-64
0,TGFB1,17.095669,1.8563187,1.5985239850907823e-65,1.8503335791632408e-62
0,LEPROTL1,16.911554,2.210081,3.698189069838973e-64,3.87306058156993e-61
0,PTPRC,16.753012,1.824205,5.383056647137227e-63,5.381343856385865e-60
0,HLA-A,16.709534,1.236972,1.117039693753564e-62,1.0681327819444405e-59
0,SARAF,16.68317,1.5260395,1.7374835416116728e-62,1.5921864804443968e-59
0,SH2D2A,16.506363,2.9203248,3.3019493619279115e-61,2.9047908926752223e-58
0,PTPN22,16.474957,2.7750092,5.5529205072722544e-61,4.697130027555334e-58
