group,names,scores,logfoldchanges,pvals,pvals_adj
0,CCL5,26.317142,5.0237823,1.220771215213284e-152,2.6848421336185755e-148
0,CD8A,22.11541,4.3165793,2.246591252405974e-108,2.4704640707082295e-104
0,HLA-B,21.382172,1.3702906,1.958003967549973e-101,1.4354127086108854e-97
0,CD7,20.512785,3.2020466,1.6553841531982952e-93,9.101715920322527e-90
0,ZFP36L2,19.186749,2.2773218,4.776108482693963e-82,2.1008190771977666e-78
1,HSPA1A,14.874508,4.4859447,4.825197566873181e-50,1.0612057008824187e-45
1,DNAJB1,14.48608,3.6301856,1.4837250324487466e-47,1.6315782319322643e-43
1,HSPA8,13.567626,2.571247,6.23074940530438e-42,4.5677623890286416e-38
1,HSPA1B,13.2710905,3.8200054,3.4058685804113617e-40,1.872631692224677e-36
1,HSPH1,12.604208,2.848168,2.0017353041322658e-36,8.804832908756184e-33
2,CTSB,28.252508,5.5500994,1.3258672914861055e-175,2.915979934165392e-171
2,APOC1,28.214512,7.942426,3.8813798275920395e-175,4.2681593274115865e-171
2,FTL,28.162693,4.7372384,1.675492756112248e-174,1.2283037395058891e-170
2,CD68,27.941689,5.666074,8.318404304212596e-172,4.573666646563691e-168
2,APOE,27.717693,8.429158,4.273533237185411e-169,1.8797563297083747e-165
3,TIMP1,14.865562,5.4637833,5.5149778640986275e-50,1.2129090816512112e-45
3,SLC11A1,14.661282,5.172786,1.1409896207661335e-48,1.2546892364754788e-44
3,VCAN,14.431669,5.6327963,3.2707046635077673e-47,2.3977535888175444e-43
3,FCN1,14.021481,6.597584,1.151869239658347e-44,6.333265046951508e-41
3,LYZ,13.968028,5.2147565,2.4429831825328284e-44,1.0745705826688899e-40
4,HSPA1A,16.020155,4.4039903,9.241938733657936e-58,2.03257958569339e-53
4,DNAJB1,15.782655,3.5807707,4.095913383570573e-56,4.504071152243381e-52
4,HSPA1B,14.888221,3.9695141,3.930940176219392e-50,2.8817722431864365e-46
4,CD83,14.758482,3.2299097,2.7131994504374557e-49,1.491784887836774e-45
4,MS4A1,14.422273,4.39924,3.7479419156838616e-47,1.6485697310327032e-43
