module,status,message
cellranger,ok,completed
qc,ok,completed
doublet_detection,ok,completed
clustering,ok,completed
annotation,ok,completed
cell_cycle,ok,completed
cnv_inference,ok,completed
compare_10x,ok,completed
differential_expression,ok,completed
gene_regulatory_network,ok,completed
gene_signature_scoring,ok,completed
trajectory,ok,completed
cell_communication,ok,completed
immune_phenotyping,ok,completed
tumor_microenvironment,ok,completed
pathway_analysis,ok,completed
evolution,ok,completed
pseudo_velocity,ok,completed
