gene,pseudotime_correlation
CD9,0.6910055
HLA-B,-0.60876185
CSTA,0.5901331
KRT19,0.5700367
KRT6A,0.55690867
KRT5,0.5553443
S100A2,0.5540573
S100A9,0.5518512
HLA-A,-0.5513617
PTPRC,-0.54277545
SPINT2,0.54167324
KRT15,0.5409766
MIR205HG,0.53765684
FXYD3,0.53747797
CD3E,-0.5373594
CD7,-0.5312882
SFN,0.5294228
S100A14,0.5284841
LTBR,0.52820826
CALML3,0.52466214
LRMDA,0.52274656
S100A11,0.5217995
IGFBP2,0.5211637
LINC00511,0.5190047
ZFP36L2,-0.518961
PTHLH,0.518135
NTS,0.51374245
S100A8,0.51191926
IL32,-0.50923455
HLA-C,-0.5068097
