ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Myeloid/Macro,Mast cell,1.4071,2.5294,3.5591
SPP1,CD44,Myeloid/Macro,Unknown,1.4071,1.8643,2.6233
SPP1,CD44,Myeloid/Macro,Myeloid/Macro,1.4071,1.8373,2.5853
SPP1,CD44,Myeloid/Macro,T cell,1.4071,1.7705,2.4912
SPP1,CD44,Myeloid/Macro,NK cell,1.4071,1.7159,2.4145
SPP1,CD44,Myeloid/Macro,Dendritic cell,1.4071,1.5537,2.1863
SPP1,CD44,Myeloid/Macro,B cell,1.4071,1.4617,2.0568
TGFB1,TGFBR2,NK cell,Endothelial,1.832,1.082,1.9823
SPP1,CD44,Myeloid/Macro,Fibroblast,1.4071,1.2495,1.7582
TGFB1,TGFBR2,T cell,Endothelial,1.4885,1.082,1.6106
TGFB1,TGFBR2,Unknown,Endothelial,1.4698,1.082,1.5903
SPP1,CD44,Myeloid/Macro,Plasma cell,1.4071,1.1269,1.5857
TGFB1,TGFBR2,Myeloid/Macro,Endothelial,1.1397,1.082,1.2332
TGFB1,TGFBR2,Endothelial,Endothelial,1.0881,1.082,1.1773
TGFB1,TGFBR2,Mast cell,Endothelial,1.0175,1.082,1.1009
TGFB1,TGFBR2,NK cell,Unknown,1.832,0.5692,1.0427
TGFB1,TGFBR2,B cell,Endothelial,0.9361,1.082,1.0129
TGFB1,TGFBR2,NK cell,T cell,1.832,0.5317,0.974
VEGFA,FLT1,Mast cell,Endothelial,1.1046,0.8809,0.973
TGFB1,TGFBR2,Plasma cell,Endothelial,0.898,1.082,0.9717
SPP1,CD44,Myeloid/Macro,Endothelial,1.4071,0.6842,0.9628
TGFB1,TGFBR2,T cell,Unknown,1.4885,0.5692,0.8472
SPP1,CD44,Myeloid/Macro,Tumor epithelial,1.4071,0.6018,0.8468
TGFB1,TGFBR2,Unknown,Unknown,1.4698,0.5692,0.8366
TGFB1,TGFBR2,NK cell,Fibroblast,1.832,0.4485,0.8217
TGFB1,TGFBR2,Dendritic cell,Endothelial,0.7559,1.082,0.8179
TGFB1,TGFBR2,T cell,T cell,1.4885,0.5317,0.7914
TGFB1,TGFBR2,Unknown,T cell,1.4698,0.5317,0.7814
TGFB1,TGFBR2,NK cell,NK cell,1.832,0.4224,0.7738
TGFB1,TGFBR2,NK cell,B cell,1.832,0.3945,0.7226
CXCL12,CXCR4,Fibroblast,T cell,0.3063,2.2198,0.6798
VEGFA,FLT1,Myeloid/Macro,Endothelial,0.7644,0.8809,0.6734
CXCL12,CXCR4,Fibroblast,B cell,0.3063,2.1868,0.6697
TGFB1,TGFBR2,T cell,Fibroblast,1.4885,0.4485,0.6677
TGFB1,TGFBR2,Unknown,Fibroblast,1.4698,0.4485,0.6593
TGFB1,TGFBR2,Fibroblast,Endothelial,0.6014,1.082,0.6508
TGFB1,TGFBR2,Myeloid/Macro,Unknown,1.1397,0.5692,0.6487
CXCL12,CXCR4,Fibroblast,NK cell,0.3063,2.097,0.6422
TGFB1,TGFBR2,T cell,NK cell,1.4885,0.4224,0.6287
TGFB1,TGFBR2,Tumor epithelial,Endothelial,0.5774,1.082,0.6248
TGFB1,TGFBR2,Unknown,NK cell,1.4698,0.4224,0.6208
TGFB1,TGFBR2,Endothelial,Unknown,1.0881,0.5692,0.6193
TGFB1,TGFBR2,Myeloid/Macro,T cell,1.1397,0.5317,0.6059
TGFB1,TGFBR2,T cell,B cell,1.4885,0.3945,0.5872
CXCL12,CXCR4,Fibroblast,Unknown,0.3063,1.9028,0.5828
TGFB1,TGFBR2,Unknown,B cell,1.4698,0.3945,0.5798
TGFB1,TGFBR2,Mast cell,Unknown,1.0175,0.5692,0.5791
TGFB1,TGFBR2,Endothelial,T cell,1.0881,0.5317,0.5785
SPP1,CD44,Plasma cell,Mast cell,0.2221,2.5294,0.5619
TGFB1,TGFBR2,Mast cell,T cell,1.0175,0.5317,0.541
TGFB1,TGFBR2,B cell,Unknown,0.9361,0.5692,0.5328
VEGFA,FLT1,Fibroblast,Endothelial,0.6013,0.8809,0.5297
TGFB1,TGFBR2,NK cell,Dendritic cell,1.832,0.2876,0.5269
TGFB1,TGFBR2,Myeloid/Macro,Fibroblast,1.1397,0.4485,0.5112
TGFB1,TGFBR2,Plasma cell,Unknown,0.898,0.5692,0.5112
TGFB1,TGFBR2,B cell,T cell,0.9361,0.5317,0.4977
TGFB1,TGFBR2,Endothelial,Fibroblast,1.0881,0.4485,0.4881
TGFB1,TGFBR2,NK cell,Myeloid/Macro,1.832,0.2636,0.4829
TGFB1,TGFBR2,Myeloid/Macro,NK cell,1.1397,0.4224,0.4814
TGFB1,TGFBR2,Plasma cell,T cell,0.898,0.5317,0.4774
TGFB1,TGFBR2,Endothelial,NK cell,1.0881,0.4224,0.4596
CXCL12,CXCR4,Fibroblast,Dendritic cell,0.3063,1.493,0.4573
TGFB1,TGFBR2,Mast cell,Fibroblast,1.0175,0.4485,0.4564
TGFB1,TGFBR2,Myeloid/Macro,B cell,1.1397,0.3945,0.4496
TGFB1,TGFBR2,Dendritic cell,Unknown,0.7559,0.5692,0.4303
TGFB1,TGFBR2,Mast cell,NK cell,1.0175,0.4224,0.4298
TGFB1,TGFBR2,Endothelial,B cell,1.0881,0.3945,0.4292
TGFB1,TGFBR2,T cell,Dendritic cell,1.4885,0.2876,0.4281
SPP1,CD44,Fibroblast,Mast cell,0.1672,2.5294,0.4229
TGFB1,TGFBR2,Unknown,Dendritic cell,1.4698,0.2876,0.4227
TGFB1,TGFBR2,B cell,Fibroblast,0.9361,0.4485,0.4199
SPP1,CD44,Plasma cell,Unknown,0.2221,1.8643,0.4142
SPP1,CD44,Plasma cell,Myeloid/Macro,0.2221,1.8373,0.4082
TGFB1,TGFBR2,Plasma cell,Fibroblast,0.898,0.4485,0.4028
CCL5,CCR5,NK cell,Dendritic cell,3.395,0.1186,0.4025
TGFB1,TGFBR2,Dendritic cell,T cell,0.7559,0.5317,0.4019
TGFB1,TGFBR2,Mast cell,B cell,1.0175,0.3945,0.4014
TGFB1,TGFBR2,B cell,NK cell,0.9361,0.4224,0.3954
VEGFA,FLT1,Tumor epithelial,Endothelial,0.4476,0.8809,0.3943
SPP1,CD44,Plasma cell,T cell,0.2221,1.7705,0.3933
