group,names,scores,logfoldchanges,pvals,pvals_adj
0,CCL5,35.19942,5.0621758,5.2465009949185585e-163,1.1538629638124387e-158
0,CD8A,25.310678,4.319245,1.4849919720771035e-99,1.632971422094587e-95
0,CD7,20.902225,3.2056088,3.3643788480458913e-78,2.466426133502443e-74
0,GZMB,20.279364,4.236447,3.072436108087312e-71,1.6893021831291065e-67
0,CTSW,19.339287,3.3965719,1.842717445694425e-67,8.105376956631498e-64
1,HSPA1A,26.757925,4.6449995,1.4505586677492812e-100,3.1902136779809944e-96
1,HSPA1B,24.037794,4.2965627,6.206789168978923e-92,6.825295709667673e-88
1,DNAJB1,23.906048,3.7126544,5.9846708398793465e-90,4.387362192715549e-86
1,HSP90AA1,16.895475,2.2849863,1.0235801631962326e-52,4.502319705834949e-49
1,HSPA8,16.847929,2.3664744,3.6386860660636195e-53,2.0006405662734297e-49
2,APOE,50.976387,8.411607,1.7186464045711674e-188,9.449547593933422e-185
2,APOC1,50.038315,7.7820587,1.3712674917529706e-188,9.449547593933422e-185
2,C1QC,49.262894,7.718176,8.150897351299073e-185,3.58525370894241e-181
2,CD68,47.487564,5.491491,1.8735867266852756e-202,4.120579287998927e-198
2,C1QA,46.929768,7.6071157,9.074725243200076e-177,3.326340537894988e-173
3,CST3,23.80056,4.9254193,2.2271311915167903e-73,2.449064814751439e-69
3,LYZ,23.186607,5.1947737,8.677972011100675e-74,1.9085463844013716e-69
3,IFI30,22.854548,4.764525,2.6493355605886866e-67,1.9422278994675663e-63
3,AIF1,21.22177,4.197001,1.0074363068614186e-65,5.539136674200795e-62
3,TYROBP,19.99615,4.390208,2.8402194534881902e-59,1.2492989288113153e-55
4,MS4A1,15.981481,4.554848,4.61615675157039e-38,1.0152313543728759e-33
4,HSPA1A,15.977498,4.5867515,1.413340482136429e-32,7.770899305906622e-29
4,HSPA1B,15.896916,4.3933287,6.0020853899550545e-36,6.600193199064076e-32
4,DNAJB1,15.747012,3.820445,2.7988569218918525e-33,2.051842009438917e-29
4,CACYBP,14.028232,2.9633427,1.6407496307500852e-31,7.2170013258173245e-28
5,KRT19,48.58437,8.197846,1.4245044471869827e-125,1.5664563153491655e-121
5,KRT5,37.07542,9.804565,2.231305884419066e-82,9.814622063205703e-79
5,KRT6A,36.29389,10.7063675,4.2622049748264264e-79,1.5623112335226266e-75
5,S100A2,33.541946,9.42713,1.6054299151729768e-75,5.044031446342754e-72
5,FXYD3,32.22294,8.334069,7.82002692896253e-75,2.1498231531084117e-71
6,SPOCK2,16.56124,2.7430782,1.212933465592891e-50,2.6676045708784453e-46
6,IL7R,15.9385605,3.0545533,1.828534178102398e-47,2.010747608950302e-43
6,SARAF,14.76631,1.8170384,2.1886399577544714e-41,1.604491953029803e-37
6,FAAH2,13.403164,3.6687632,3.215869764380547e-34,7.0726623728021365e-31
6,TNFRSF4,12.349451,3.8031182,1.4233816667937263e-29,2.2360309284138873e-26
7,CXCL8,16.302021,9.104551,4.138662740890902e-15,9.102160966041361e-11
7,NAMPT,9.547764,5.1964545,7.807206085264808e-10,2.8617313905538158e-06
7,TOM1,7.8885374,5.2372313,7.9707854191051e-08,6.044878749047533e-05
7,IFITM3,7.8351083,5.1214833,2.8559428278874764e-08,2.7309022005969247e-05
7,ASAH1,7.739854,5.1077566,4.8904600981391945e-08,3.841281747799118e-05
8,FYN,8.269589,2.5821974,2.112415084492493e-14,1.161458623831085e-10
8,MALAT1,7.854237,1.6264606,8.487120752250631e-13,1.8665724670424812e-09
8,GNLY,7.7710133,5.014886,2.8860055536658015e-12,4.231461342784798e-09
8,CD247,7.6913877,2.9000251,1.4673687345267049e-12,2.6893200482038186e-09
8,PRKCH,7.43684,2.6481814,5.2212987993520955e-12,6.754824970244156e-09
9,MZB1,22.053768,8.461731,3.941024571252911e-34,8.667495339556527e-30
9,SSR4,15.864419,3.5797822,2.3970045805964577e-31,2.6358660870528947e-27
9,DERL3,11.720691,7.203951,3.893463376249927e-18,2.1407235008466162e-14
9,FKBP11,10.714461,3.6471918,2.2752235700465785e-19,1.6679663992011468e-15
9,JCHAIN,10.117884,8.569053,3.5279456070917914e-15,1.551802154735395e-11
10,IGFBP7,21.482859,9.576047,2.3505654881622787e-30,2.58479933905765e-26
10,IFITM3,17.007236,4.8396697,1.1674173022555704e-31,2.5675008728506763e-27
10,IGFBP4,14.577865,6.578813,1.7123777908797608e-22,1.2553441584939528e-18
10,MGP,13.653857,9.5314045,5.4127445780204986e-20,2.976062287610121e-16
10,CALD1,12.359542,7.7124605,3.883619079922616e-18,1.7082486884947617e-14
11,TPSAB1,67.92747,12.494304,8.147019736099393e-83,1.7917740505603395e-78
11,TPSB2,45.322018,12.318662,1.2587248625135542e-62,1.3841567950630299e-58
11,CPA3,33.970047,12.499259,2.2537471878491526e-50,1.6522220634122138e-46
11,SLC24A3,23.443014,10.206622,2.0292012489713948e-38,1.115705576715697e-34
11,HDC,21.682175,11.248104,9.628014959172668e-36,4.23497865994169e-32
12,SLPI,21.043682,8.5426855,1.8445217542002703e-30,4.0566566940126546e-26
12,WFDC2,17.655708,11.554522,2.0661755563914567e-22,2.2720699505858654e-18
12,SFTPB,16.299505,12.703293,6.358803667501985e-21,4.6616389686457055e-17
12,MUC1,13.737345,8.062854,2.8126867262291942e-18,1.0309903194993112e-14
12,AGR3,13.190579,13.101227,3.0213163190194355e-17,8.305976225524306e-14
13,CD79A,25.839128,5.3795466,2.7364548282362303e-82,6.018285103739941e-78
13,MS4A1,25.192554,5.7724624,1.4217585321424858e-77,1.5634367698704846e-73
13,BANK1,19.397722,5.02996,2.1990662740047706e-55,1.6121354854728974e-51
13,EBF1,18.2939,5.6946144,1.5705788772987947e-48,4.9345344640617704e-45
13,CD37,18.24819,2.6117685,3.710262753488901e-55,2.039995218437035e-51
