ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Myeloid/Macro,Mast cell,1.4071,2.5294,3.5591
SPP1,CD44,Myeloid/Macro,Myeloid/Macro,1.4071,1.8373,2.5853
SPP1,CD44,Myeloid/Macro,Unknown,1.4071,1.8285,2.5728
SPP1,CD44,Myeloid/Macro,T cell,1.4071,1.7706,2.4915
SPP1,CD44,Myeloid/Macro,NK cell,1.4071,1.7159,2.4145
SPP1,CD44,Myeloid/Macro,Dendritic cell,1.4071,1.5537,2.1863
SPP1,CD44,Myeloid/Macro,B cell,1.4071,1.4617,2.0568
TGFB1,TGFBR2,NK cell,Endothelial,1.832,1.082,1.9823
SPP1,CD44,Myeloid/Macro,Fibroblast,1.4071,1.2843,1.8071
TGFB1,TGFBR2,T cell,Endothelial,1.4892,1.082,1.6114
SPP1,CD44,Myeloid/Macro,Plasma cell,1.4071,1.1263,1.5848
TGFB1,TGFBR2,Unknown,Endothelial,1.4415,1.082,1.5597
TGFB1,TGFBR2,Myeloid/Macro,Endothelial,1.1397,1.082,1.2332
TGFB1,TGFBR2,Endothelial,Endothelial,1.0881,1.082,1.1773
TGFB1,TGFBR2,Mast cell,Endothelial,1.0175,1.082,1.1009
TGFB1,TGFBR2,NK cell,Unknown,1.832,0.5723,1.0484
TGFB1,TGFBR2,B cell,Endothelial,0.9361,1.082,1.0129
VEGFA,FLT1,Mast cell,Endothelial,1.1046,0.8809,0.973
TGFB1,TGFBR2,NK cell,T cell,1.832,0.5297,0.9703
TGFB1,TGFBR2,Plasma cell,Endothelial,0.8928,1.082,0.966
SPP1,CD44,Myeloid/Macro,Endothelial,1.4071,0.6842,0.9628
TGFB1,TGFBR2,T cell,Unknown,1.4892,0.5723,0.8522
SPP1,CD44,Myeloid/Macro,Tumor epithelial,1.4071,0.6047,0.8509
TGFB1,TGFBR2,Unknown,Unknown,1.4415,0.5723,0.8249
TGFB1,TGFBR2,Dendritic cell,Endothelial,0.7559,1.082,0.8179
TGFB1,TGFBR2,NK cell,Fibroblast,1.832,0.4319,0.7913
TGFB1,TGFBR2,T cell,T cell,1.4892,0.5297,0.7888
TGFB1,TGFBR2,NK cell,NK cell,1.832,0.4224,0.7738
TGFB1,TGFBR2,Unknown,T cell,1.4415,0.5297,0.7635
TGFB1,TGFBR2,NK cell,B cell,1.832,0.3945,0.7226
TGFB1,TGFBR2,Fibroblast,Endothelial,0.644,1.082,0.6968
VEGFA,FLT1,Myeloid/Macro,Endothelial,0.7644,0.8809,0.6734
CXCL12,CXCR4,Fibroblast,T cell,0.2949,2.223,0.6556
TGFB1,TGFBR2,Myeloid/Macro,Unknown,1.1397,0.5723,0.6522
CXCL12,CXCR4,Fibroblast,B cell,0.2949,2.1868,0.6449
TGFB1,TGFBR2,T cell,Fibroblast,1.4892,0.4319,0.6432
TGFB1,TGFBR2,T cell,NK cell,1.4892,0.4224,0.629
TGFB1,TGFBR2,Tumor epithelial,Endothelial,0.5803,1.082,0.6279
TGFB1,TGFBR2,Endothelial,Unknown,1.0881,0.5723,0.6227
TGFB1,TGFBR2,Unknown,Fibroblast,1.4415,0.4319,0.6226
CXCL12,CXCR4,Fibroblast,NK cell,0.2949,2.097,0.6184
TGFB1,TGFBR2,Unknown,NK cell,1.4415,0.4224,0.6089
TGFB1,TGFBR2,Myeloid/Macro,T cell,1.1397,0.5297,0.6037
TGFB1,TGFBR2,T cell,B cell,1.4892,0.3945,0.5874
TGFB1,TGFBR2,Mast cell,Unknown,1.0175,0.5723,0.5823
TGFB1,TGFBR2,Endothelial,T cell,1.0881,0.5297,0.5763
SPP1,CD44,Plasma cell,Mast cell,0.2266,2.5294,0.5732
TGFB1,TGFBR2,Unknown,B cell,1.4415,0.3945,0.5686
CXCL12,CXCR4,Fibroblast,Unknown,0.2949,1.8662,0.5504
TGFB1,TGFBR2,Mast cell,T cell,1.0175,0.5297,0.5389
TGFB1,TGFBR2,B cell,Unknown,0.9361,0.5723,0.5357
TGFB1,TGFBR2,NK cell,Dendritic cell,1.832,0.2876,0.5269
TGFB1,TGFBR2,Plasma cell,Unknown,0.8928,0.5723,0.5109
VEGFA,FLT1,Fibroblast,Endothelial,0.579,0.8809,0.5101
TGFB1,TGFBR2,B cell,T cell,0.9361,0.5297,0.4958
TGFB1,TGFBR2,Myeloid/Macro,Fibroblast,1.1397,0.4319,0.4923
TGFB1,TGFBR2,NK cell,Myeloid/Macro,1.832,0.2636,0.4829
TGFB1,TGFBR2,Myeloid/Macro,NK cell,1.1397,0.4224,0.4814
TGFB1,TGFBR2,Plasma cell,T cell,0.8928,0.5297,0.4729
TGFB1,TGFBR2,Endothelial,Fibroblast,1.0881,0.4319,0.47
TGFB1,TGFBR2,Endothelial,NK cell,1.0881,0.4224,0.4596
TGFB1,TGFBR2,Myeloid/Macro,B cell,1.1397,0.3945,0.4496
CXCL12,CXCR4,Fibroblast,Dendritic cell,0.2949,1.493,0.4403
TGFB1,TGFBR2,Mast cell,Fibroblast,1.0175,0.4319,0.4395
TGFB1,TGFBR2,Dendritic cell,Unknown,0.7559,0.5723,0.4326
TGFB1,TGFBR2,Mast cell,NK cell,1.0175,0.4224,0.4298
TGFB1,TGFBR2,Endothelial,B cell,1.0881,0.3945,0.4292
TGFB1,TGFBR2,T cell,Dendritic cell,1.4892,0.2876,0.4283
SPP1,CD44,Plasma cell,Myeloid/Macro,0.2266,1.8373,0.4164
TGFB1,TGFBR2,Unknown,Dendritic cell,1.4415,0.2876,0.4146
SPP1,CD44,Plasma cell,Unknown,0.2266,1.8285,0.4144
SPP1,CD44,Fibroblast,Mast cell,0.161,2.5294,0.4073
TGFB1,TGFBR2,B cell,Fibroblast,0.9361,0.4319,0.4043
CCL5,CCR5,NK cell,Dendritic cell,3.395,0.1186,0.4025
TGFB1,TGFBR2,Mast cell,B cell,1.0175,0.3945,0.4014
SPP1,CD44,Plasma cell,T cell,0.2266,1.7706,0.4013
TGFB1,TGFBR2,Dendritic cell,T cell,0.7559,0.5297,0.4004
VEGFA,FLT1,Tumor epithelial,Endothelial,0.4498,0.8809,0.3962
TGFB1,TGFBR2,B cell,NK cell,0.9361,0.4224,0.3954
TGFB1,TGFBR2,T cell,Myeloid/Macro,1.4892,0.2636,0.3925
SPP1,CD44,Plasma cell,NK cell,0.2266,1.7159,0.3889
SPP1,CD44,Dendritic cell,Mast cell,0.1526,2.5294,0.386
TGFB1,TGFBR2,Plasma cell,Fibroblast,0.8928,0.4319,0.3856
TGFB1,TGFBR2,Unknown,Myeloid/Macro,1.4415,0.2636,0.3799
TGFB1,TGFBR2,Plasma cell,NK cell,0.8928,0.4224,0.3771
TGFB1,TGFBR2,NK cell,Mast cell,1.832,0.2045,0.3747
CXCL12,CXCR4,Fibroblast,Myeloid/Macro,0.2949,1.2666,0.3735
TGFB1,TGFBR2,NK cell,Plasma cell,1.832,0.2018,0.3698
TGFB1,TGFBR2,B cell,B cell,0.9361,0.3945,0.3692
TGFB1,TGFBR2,Fibroblast,Unknown,0.644,0.5723,0.3685
TGFB1,TGFBR2,Plasma cell,B cell,0.8928,0.3945,0.3522
SPP1,CD44,Plasma cell,Dendritic cell,0.2266,1.5537,0.3521
TGFB1,TGFBR2,Fibroblast,T cell,0.644,0.5297,0.3411
IL6,IL6R,Fibroblast,Myeloid/Macro,0.4306,0.7741,0.3333
TGFB1,TGFBR2,Tumor epithelial,Unknown,0.5803,0.5723,0.3321
