group,names,scores,logfoldchanges,pvals,pvals_adj
0,CCL5,35.19942,5.0621758,5.2465009949185585e-163,1.1538629638124387e-158
0,CD8A,25.310678,4.319245,1.4849919720771035e-99,1.632971422094587e-95
0,CD7,20.902225,3.2056088,3.3643788480458913e-78,2.466426133502443e-74
0,GZMB,20.279364,4.236447,3.072436108087312e-71,1.6893021831291065e-67
0,CTSW,19.339287,3.3965719,1.842717445694425e-67,8.105376956631498e-64
0,CST7,18.915434,3.1375172,5.909415609120561e-66,2.1660962915231417e-62
0,GZMA,18.488369,3.6333492,6.119696439484839e-62,1.9227211970512867e-58
0,CD3E,17.992517,2.6485407,2.5445092907214296e-61,6.99517410385455e-58
0,TUBA4A,17.609545,2.5726767,6.368157125132355e-59,1.5561653294781765e-55
0,CD3D,17.567669,2.7819355,1.4532790340398799e-58,3.1961965795639076e-55
0,NKG7,17.258036,3.2989,1.4048447789789186e-56,2.5747292686736134e-53
0,ZFP36L2,17.16423,2.24738,1.370849679061864e-56,2.5747292686736134e-53
0,FYN,16.989822,2.3818464,1.1701600996230562e-55,1.979640851616144e-52
0,GZMH,16.97962,3.6522584,1.3766524022928665e-53,2.0184477522418008e-50
0,SH2D2A,16.73088,2.9303172,3.7027443533108462e-53,5.08965353514784e-50
0,SYTL3,16.726202,2.3815207,3.0444324753373273e-54,4.782585959292417e-51
0,CXCR6,16.31029,3.8086996,3.2648699808025298e-49,3.590214274389502e-46
0,ITGAE,16.207878,2.8245838,1.8568805269849782e-50,2.2687985238878126e-47
0,DUSP4,16.175262,2.4760354,2.9007381910379976e-51,3.7527020609116875e-48
0,PTPN22,15.881473,2.7266035,4.050544756396766e-49,4.242077658449242e-46
0,LEPROTL1,15.862471,2.2019238,1.29390969881733e-49,1.4977345266362915e-46
0,TGFB1,15.059337,1.915868,1.9881159201819686e-45,1.8218597263567518e-42
0,GNG2,15.005179,2.1260571,3.4864714172546566e-45,3.067118635187266e-42
0,HLA-B,14.704718,1.3720026,7.957698025379849e-41,6.034953540419967e-38
0,PDE3B,14.639437,2.560242,5.428916639686704e-43,4.592237063716526e-40
0,CD8B,14.528442,3.2972403,2.005904625885364e-41,1.5755664441820289e-38
0,CD96,14.478429,2.5938492,5.477878656278878e-42,4.462036492131161e-39
0,PTPRC,13.928921,1.7854508,9.897596384557053e-40,7.255927909518775e-37
0,SARAF,13.83677,1.5195947,3.857820761597448e-39,2.7369371616068602e-36
0,ALOX5AP,13.71139,2.229771,1.4645782843862355e-38,1.0065771940158274e-35
0,LINC01871,13.455185,3.5106785,6.4838086732505e-36,3.7525895829157434e-33
0,SLA2,13.318702,3.3258684,1.6747189317458593e-35,8.983437430704069e-33
0,RUNX3,13.277673,2.0741,1.7680079982763766e-36,1.1436411737085987e-33
0,CALM1,13.238943,1.3598105,2.3895898751156993e-36,1.5015500035262735e-33
0,IL32,13.212893,2.1136603,2.895984757883069e-36,1.7692053550033983e-33
0,TRBC2,12.950348,2.2861867,8.73637335585255e-35,4.3667968003469345e-32
0,BTG1,12.949896,1.4177811,7.221809504364319e-35,3.6937036378949875e-32
0,CRTAM,12.865446,3.503735,2.4789244661792248e-33,1.1358122038474937e-30
0,HLA-C,12.830904,1.1712292,2.1473895457429132e-33,1.00484123998987e-30
0,CD2,12.666568,2.103291,1.0779735958186533e-33,5.1538854984434e-31
0,HLA-A,12.665876,1.2566496,9.698370167710451e-33,4.352984797927672e-30
0,KLRK1,12.581371,2.9524064,1.3510280398839797e-32,5.826109741405562e-30
0,NELL2,12.374635,2.8079011,1.0645428455827931e-31,4.2568165096186127e-29
0,LINC02446,12.334832,3.5420806,4.692398411859348e-31,1.8105248819653095e-28
0,PARD6G,11.956911,3.4969726,2.6582995026303014e-29,8.725967307663914e-27
0,TENT5C,11.86713,1.9527578,5.610996282525945e-30,1.966094814654329e-27
0,CAMK4,11.858158,2.215298,6.780567961301791e-30,2.2942312488140044e-27
0,TNFAIP3,11.844918,1.6684353,5.631972596881858e-30,1.966094814654329e-27
0,SPOCK2,11.778946,1.9374291,1.1171836242994004e-29,3.722760522608593e-27
0,AOAH,11.692911,2.2692242,5.27177155801731e-29,1.6103065538260375e-26
0,ISG20,11.57846,1.637659,8.077138955918665e-29,2.4334317405139619e-26
0,PPP1R16B,11.540886,1.9562337,1.3655489617430955e-28,4.0043357754154533e-26
0,RBM38,11.418859,1.9041718,5.336847519655867e-28,1.4857378164530567e-25
0,ARHGDIB,11.360707,1.4022095,6.818257083072549e-28,1.874424100350182e-25
0,CLEC2B,11.339416,1.727017,9.416309663507644e-28,2.556702449747205e-25
0,EML4,11.211446,1.4740576,2.9826811300410856e-27,7.903386276264288e-25
0,CLEC2D,11.159168,2.0082319,7.330872974427437e-27,1.853194130190605e-24
0,FAM177A1,11.083074,1.5672402,1.0774010897369908e-26,2.6623912546725434e-24
0,XCL2,11.081576,3.4402158,6.142113477584784e-26,1.3926134197167235e-23
0,CD3G,11.035294,2.3036835,3.212285115490731e-26,7.59653618763308e-24
0,PARP8,10.968683,1.9437842,4.4281862637946074e-26,1.0144697968711959e-23
0,NR3C1,10.964132,1.5650992,3.302625526394396e-26,7.72708970233957e-24
0,PDCD1,10.900009,2.6931975,1.9577137910061128e-25,4.305599940559744e-23
0,IL21R,10.896956,2.233794,1.250260645777489e-25,2.7774729679378094e-23
0,CREM,10.895077,1.5051216,6.404365205752042e-26,1.4372571833684146e-23
0,LAG3,10.828486,2.801013,4.0778045579365457e-25,8.623380350259467e-23
0,METRNL,10.773575,1.6855428,2.503508115889516e-25,5.451450890372092e-23
0,PRF1,10.7186575,2.826362,8.654859430573226e-25,1.7789376023981026e-22
0,CBLB,10.709236,1.7664552,4.3983544672446225e-25,9.212667599820094e-23
0,ITM2A,10.660395,2.142081,9.553608654550953e-25,1.9276377535737532e-22
0,CXCR4,10.52223,1.4544687,2.2322965617140865e-24,4.344681263874151e-22
0,RNF125,10.438895,2.208665,7.971938328255008e-24,1.473334787002625e-21
0,SRGN,10.437871,1.3137684,8.700467927863738e-24,1.5945782594792265e-21
0,TSC22D3,10.428381,1.3798215,5.270828465838894e-24,9.993218142171966e-22
0,OASL,10.314641,2.4029462,2.998711132375872e-23,5.276052314747405e-21
0,SLC7A5,10.27354,1.6952839,2.683479358007395e-23,4.7594968968271484e-21
0,APOBEC3G,10.18677,2.2904334,1.1161834768800295e-22,1.8739101684749992e-20
0,NIBAN1,10.080687,1.6839434,1.3812354088406088e-22,2.3013265414114778e-20
0,GZMM,10.064789,2.4160748,2.986254466234931e-22,4.901245856410809e-20
0,GABARAPL1,9.973606,1.7188408,4.669837802072622e-22,7.551745792719351e-20
