leiden,B cell,Dendritic cell,Endothelial,Fibroblast,Mast cell,Myeloid/Macro,NK cell,Plasma cell,T cell,Tumor epithelial,Unknown
0,0.0,0.0,0.012077294685990338,0.00966183574879227,0.007246376811594203,0.0,0.21739130434782608,0.012077294685990338,0.7077294685990339,0.0024154589371980675,0.03140096618357488
1,0.006097560975609756,0.003048780487804878,0.012195121951219513,0.003048780487804878,0.009146341463414634,0.003048780487804878,0.1524390243902439,0.024390243902439025,0.7164634146341463,0.0,0.0701219512195122
2,0.0,0.0,0.0033003300330033004,0.0,0.0,0.9867986798679867,0.0033003300330033004,0.0033003300330033004,0.0,0.0,0.0033003300330033004
3,0.0,0.010869565217391304,0.0,0.0,0.0,0.9782608695652174,0.0,0.0,0.005434782608695652,0.0,0.005434782608695652
4,0.9009009009009009,0.04504504504504504,0.0,0.0,0.0,0.0,0.009009009009009009,0.036036036036036036,0.0,0.0,0.009009009009009009
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0064516129032258064,0.0,0.9870967741935484,0.0
6,0.006944444444444444,0.006944444444444444,0.006944444444444444,0.0,0.006944444444444444,0.0,0.017361111111111112,0.017361111111111112,0.78125,0.003472222222222222,0.1527777777777778
7,0.0,0.0,0.0,0.0,0.07142857142857142,0.5,0.07142857142857142,0.14285714285714285,0.0,0.0,0.21428571428571427
8,0.0,0.0,0.02,0.0,0.0,0.03,0.55,0.03,0.21,0.01,0.15
9,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.9850746268656716,0.0,0.0,0.0
10,0.0,0.0,0.5172413793103449,0.3620689655172414,0.017241379310344827,0.034482758620689655,0.0,0.017241379310344827,0.0,0.017241379310344827,0.034482758620689655
11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.9787234042553191,0.0
13,0.9469026548672567,0.030973451327433628,0.0,0.0,0.004424778761061947,0.0,0.0,0.01327433628318584,0.0,0.0,0.004424778761061947
