cluster,term,overlap,gene_set_size,pval,genes,padj
0,HALLMARK_INTERFERON_GAMMA_RESPONSE,4,14,3.8891988311757957e-07,"B2M,HLA-A,HLA-B,HLA-C",1.2834356142880126e-05
10,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3,13,2.5237915203945593e-05,"FN1,SPARC,TAGLN",0.0004164256008651023
10,HALLMARK_ANGIOGENESIS,2,12,0.0013113782224687801,"COL4A1,THBS1",0.00988582694821649
1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,2,14,0.0017974230814939071,"JUNB,TNFAIP3",0.00988582694821649
5,HALLMARK_HYPOXIA,2,14,0.0017974230814939071,"GAPDH,TPI1",0.00988582694821649
6,HALLMARK_TNFA_SIGNALING_VIA_NFKB,2,14,0.0017974230814939071,"JUNB,TNFAIP3",0.00988582694821649
7,HALLMARK_INFLAMMATORY_RESPONSE,1,14,0.011400786175344558,CXCL8,0.053746563398052914
3,HALLMARK_ANGIOGENESIS,1,12,0.05323176407001391,VEGFA,0.06182678767281299
11,HALLMARK_ANGIOGENESIS,1,12,0.05323176407001391,VEGFA,0.06182678767281299
4,HALLMARK_APOPTOSIS,1,13,0.05753897591629019,PMAIP1,0.06182678767281299
11,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1,13,0.05753897591629019,VIM,0.06182678767281299
1,HALLMARK_MYC_TARGETS_V1,1,13,0.05753897591629019,HSPD1,0.06182678767281299
4,HALLMARK_MYC_TARGETS_V1,1,13,0.05753897591629019,HSPD1,0.06182678767281299
11,HALLMARK_APOPTOSIS,1,13,0.05753897591629019,LMNA,0.06182678767281299
0,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,TNFAIP3,0.06182678767281299
1,HALLMARK_P53_PATHWAY,1,14,0.06182678767281298,BTG2,0.06182678767281299
4,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-DRA,0.06182678767281299
4,HALLMARK_P53_PATHWAY,1,14,0.06182678767281298,PMAIP1,0.06182678767281299
4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,CD83,0.06182678767281299
3,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-DRA,0.06182678767281299
2,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-DRA,0.06182678767281299
3,HALLMARK_HYPOXIA,1,14,0.06182678767281298,VEGFA,0.06182678767281299
1,HALLMARK_INFLAMMATORY_RESPONSE,1,14,0.06182678767281298,CCL5,0.06182678767281299
1,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-A,0.06182678767281299
0,HALLMARK_INFLAMMATORY_RESPONSE,1,14,0.06182678767281298,CCL5,0.06182678767281299
9,HALLMARK_P53_PATHWAY,1,14,0.06182678767281298,GADD45A,0.06182678767281299
8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,TNFAIP3,0.06182678767281299
8,HALLMARK_INFLAMMATORY_RESPONSE,1,14,0.06182678767281298,CCL5,0.06182678767281299
11,HALLMARK_HYPOXIA,1,14,0.06182678767281298,VEGFA,0.06182678767281299
11,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,NFKBIA,0.06182678767281299
10,HALLMARK_INFLAMMATORY_RESPONSE,1,14,0.06182678767281298,CCL2,0.06182678767281299
13,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,CD83,0.06182678767281299
13,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-DRA,0.06182678767281299
