leiden,count,mean,median,std,min,max
0,406,0.019275518,0.018961933,0.0061372514,0.0,0.055942997
1,122,0.05235916,0.051075842,0.012429541,0.030936215,0.114625104
2,328,0.34368598,0.34724736,0.034327585,0.2322975,0.42433658
3,92,0.29167902,0.2928269,0.021532308,0.18193556,0.33198833
4,145,0.18087628,0.17803629,0.017559066,0.1288055,0.24989936
5,155,0.6483018,0.6378218,0.040639643,0.5502271,0.7725856
6,279,0.04580781,0.04332171,0.02090308,0.024729107,0.33029568
7,16,0.21299644,0.21021733,0.021771325,0.14826876,0.26065397
8,267,0.0342356,0.03400741,0.009436946,0.012298788,0.07456095
9,67,0.2439348,0.17193256,0.1896563,0.12879467,0.7685821
10,31,0.21258317,0.2176281,0.022745607,0.09721057,0.22599962
11,51,0.27483743,0.268956,0.036938883,0.17963168,0.34691283
12,81,0.84934205,0.85009986,0.0552511,0.65689224,1.0
13,48,0.20579956,0.20990458,0.0427079,0.0869871,0.25729904
14,205,0.19650002,0.19535905,0.0114163365,0.15950109,0.23550656
15,57,0.04328757,0.04040045,0.021594396,0.018523403,0.13699901
16,27,0.1250781,0.12681067,0.013354049,0.07996513,0.15183876
