leiden,B cell,Dendritic cell,Endothelial,Fibroblast,Mast cell,Myeloid/Macro,NK cell,Plasma cell,T cell,Tumor epithelial,Unknown
0,0,0,5,4,4,0,82,4,294,1,12
1,2,0,0,1,1,1,1,5,102,0,9
2,0,0,1,0,0,323,1,1,0,0,2
3,0,0,0,0,0,91,0,0,1,0,0
4,118,6,0,0,0,14,1,5,0,0,1
5,0,0,0,0,0,0,1,1,0,153,0
6,2,2,2,0,4,0,6,3,216,1,43
7,0,0,0,0,1,8,1,2,1,0,3
8,0,1,4,0,2,0,98,4,140,0,18
9,1,0,0,0,0,0,0,66,0,0,0
10,0,0,30,0,0,0,0,0,0,0,1
11,0,1,0,0,0,50,0,0,0,0,0
12,0,0,0,0,81,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,1,46,0
14,196,7,0,0,0,0,0,2,0,0,0
15,0,0,2,0,0,3,12,5,20,1,14
16,0,0,0,21,1,2,0,1,0,1,1
