leiden,B cell,Dendritic cell,Endothelial,Fibroblast,Mast cell,Myeloid/Macro,NK cell,Plasma cell,T cell,Tumor epithelial,Unknown
0,0.0,0.0,0.012315270935960592,0.009852216748768473,0.009852216748768473,0.0,0.2019704433497537,0.009852216748768473,0.7241379310344828,0.0024630541871921183,0.029556650246305417
1,0.01639344262295082,0.0,0.0,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.040983606557377046,0.8360655737704918,0.0,0.07377049180327869
2,0.0,0.0,0.003048780487804878,0.0,0.0,0.9847560975609756,0.003048780487804878,0.003048780487804878,0.0,0.0,0.006097560975609756
3,0.0,0.0,0.0,0.0,0.0,0.9891304347826086,0.0,0.0,0.010869565217391304,0.0,0.0
4,0.8137931034482758,0.041379310344827586,0.0,0.0,0.0,0.09655172413793103,0.006896551724137931,0.034482758620689655,0.0,0.0,0.006896551724137931
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0064516129032258064,0.0,0.9870967741935484,0.0
6,0.007168458781362007,0.007168458781362007,0.007168458781362007,0.0,0.014336917562724014,0.0,0.021505376344086023,0.010752688172043012,0.7741935483870968,0.0035842293906810036,0.15412186379928317
7,0.0,0.0,0.0,0.0,0.0625,0.5,0.0625,0.125,0.0625,0.0,0.1875
8,0.0,0.003745318352059925,0.0149812734082397,0.0,0.00749063670411985,0.0,0.36704119850187267,0.0149812734082397,0.5243445692883895,0.0,0.06741573033707865
9,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.9850746268656716,0.0,0.0,0.0
10,0.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903
11,0.0,0.0196078431372549,0.0,0.0,0.0,0.9803921568627451,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.9583333333333334,0.0
14,0.9560975609756097,0.03414634146341464,0.0,0.0,0.0,0.0,0.0,0.00975609756097561,0.0,0.0,0.0
15,0.0,0.0,0.03508771929824561,0.0,0.0,0.05263157894736842,0.21052631578947367,0.08771929824561403,0.3508771929824561,0.017543859649122806,0.24561403508771928
16,0.0,0.0,0.0,0.7777777777777778,0.037037037037037035,0.07407407407407407,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035
