,cell_type,n_cells,PD-1,PD-1_pct,PD-L1,PD-L1_pct,PD-L2,PD-L2_pct,CTLA-4,CTLA-4_pct,LAG-3,LAG-3_pct,TIM-3,TIM-3_pct,TIGIT,TIGIT_pct,VISTA,VISTA_pct,IDO1,IDO1_pct,B7-H3,B7-H3_pct
0,T cell,775,0.5323,30.19,0.0486,3.61,0.0106,0.9,0.5421,30.71,0.4257,24.65,0.1187,7.87,0.6902,38.32,0.5023,31.35,0.0027,0.26,0.0,0.0
1,Myeloid/Macro,493,0.0574,8.92,0.0653,11.76,0.055,11.16,0.054,7.91,0.0627,9.74,0.5873,66.53,0.0559,8.52,0.6242,62.68,0.0734,5.88,0.1245,21.91
2,B cell,319,0.065,5.33,0.0296,3.13,0.0065,0.63,0.0271,1.88,0.0,0.0,0.0109,1.25,0.0484,3.76,0.3832,28.53,0.008,0.63,0.0,0.0
3,Tumor epithelial,203,0.0161,2.46,0.0707,13.3,0.0031,1.48,0.0064,1.48,0.0388,2.96,0.0063,1.48,0.0075,0.49,0.1164,16.26,0.5152,39.9,0.1874,25.62
4,NK cell,203,0.3319,19.21,0.0278,1.97,0.0065,0.49,0.2492,13.79,0.5326,28.57,0.32,17.24,0.529,30.05,0.399,24.14,0.0,0.0,0.0,0.0
5,Plasma cell,99,0.1322,10.1,0.041,6.06,0.0163,3.03,0.1208,8.08,0.1627,17.17,0.0284,4.04,0.2515,17.17,0.3275,35.35,0.0,0.0,0.0026,1.01
6,Endothelial,44,0.0995,6.82,0.1159,9.09,0.0,0.0,0.1583,11.36,0.048,4.55,0.0441,2.27,0.1942,11.36,0.745,54.55,0.2291,9.09,0.1739,13.64
7,Mast cell,94,0.0554,3.19,0.2346,17.02,0.0385,3.19,0.0502,3.19,0.0576,3.19,0.3089,21.28,0.0722,4.26,0.5928,40.43,0.0057,1.06,0.1473,13.83
8,Unknown,104,0.2728,14.42,0.0,0.0,0.0,0.0,0.2928,17.31,0.1976,9.62,0.0691,2.88,0.3804,19.23,0.3853,22.12,0.0491,1.92,0.0174,0.96
9,Dendritic cell,17,0.0959,11.76,0.0347,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.082,11.76,0.0,0.0,0.391,29.41,0.0722,5.88,0.0,0.0
10,Fibroblast,26,0.0781,3.85,0.0118,3.85,0.0,0.0,0.021,3.85,0.038,7.69,0.024,7.69,0.092,3.85,0.4154,38.46,0.0,0.0,0.2327,30.77
