ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Myeloid/Macro,Mast cell,1.4034,2.5294,3.5498
SPP1,CD44,Myeloid/Macro,Myeloid/Macro,1.4034,1.8359,2.5765
SPP1,CD44,Myeloid/Macro,Unknown,1.4034,1.8285,2.5661
SPP1,CD44,Myeloid/Macro,T cell,1.4034,1.7726,2.4877
SPP1,CD44,Myeloid/Macro,NK cell,1.4034,1.7159,2.4082
SPP1,CD44,Myeloid/Macro,Dendritic cell,1.4034,1.5394,2.1605
SPP1,CD44,Myeloid/Macro,B cell,1.4034,1.4613,2.0509
TGFB1,TGFBR2,NK cell,Endothelial,1.832,1.082,1.9823
SPP1,CD44,Myeloid/Macro,Fibroblast,1.4034,1.2495,1.7536
TGFB1,TGFBR2,T cell,Endothelial,1.4902,1.082,1.6125
SPP1,CD44,Myeloid/Macro,Plasma cell,1.4034,1.1263,1.5807
TGFB1,TGFBR2,Unknown,Endothelial,1.4415,1.082,1.5597
TGFB1,TGFBR2,Myeloid/Macro,Endothelial,1.1381,1.082,1.2315
TGFB1,TGFBR2,Endothelial,Endothelial,1.0881,1.082,1.1773
TGFB1,TGFBR2,Mast cell,Endothelial,1.0175,1.082,1.1009
TGFB1,TGFBR2,NK cell,Unknown,1.832,0.5723,1.0484
TGFB1,TGFBR2,B cell,Endothelial,0.939,1.082,1.016
VEGFA,FLT1,Mast cell,Endothelial,1.1046,0.8809,0.973
TGFB1,TGFBR2,NK cell,T cell,1.832,0.5283,0.9678
TGFB1,TGFBR2,Plasma cell,Endothelial,0.8928,1.082,0.966
SPP1,CD44,Myeloid/Macro,Endothelial,1.4034,0.6842,0.9602
TGFB1,TGFBR2,T cell,Unknown,1.4902,0.5723,0.8528
SPP1,CD44,Myeloid/Macro,Tumor epithelial,1.4034,0.6047,0.8487
TGFB1,TGFBR2,Unknown,Unknown,1.4415,0.5723,0.8249
TGFB1,TGFBR2,NK cell,Fibroblast,1.832,0.4485,0.8217
SPP1,CD44,Dendritic cell,Mast cell,0.3228,2.5294,0.8164
TGFB1,TGFBR2,T cell,T cell,1.4902,0.5283,0.7873
TGFB1,TGFBR2,NK cell,NK cell,1.832,0.4224,0.7738
TGFB1,TGFBR2,Dendritic cell,Endothelial,0.7099,1.082,0.7681
TGFB1,TGFBR2,Unknown,T cell,1.4415,0.5283,0.7615
TGFB1,TGFBR2,NK cell,B cell,1.832,0.3957,0.7249
CXCL12,CXCR4,Fibroblast,T cell,0.3063,2.2236,0.681
VEGFA,FLT1,Myeloid/Macro,Endothelial,0.766,0.8809,0.6747
CXCL12,CXCR4,Fibroblast,B cell,0.3063,2.1828,0.6685
TGFB1,TGFBR2,T cell,Fibroblast,1.4902,0.4485,0.6684
TGFB1,TGFBR2,Myeloid/Macro,Unknown,1.1381,0.5723,0.6513
TGFB1,TGFBR2,Fibroblast,Endothelial,0.6014,1.082,0.6508
TGFB1,TGFBR2,Unknown,Fibroblast,1.4415,0.4485,0.6466
CXCL12,CXCR4,Fibroblast,NK cell,0.3063,2.097,0.6422
TGFB1,TGFBR2,T cell,NK cell,1.4902,0.4224,0.6294
TGFB1,TGFBR2,Tumor epithelial,Endothelial,0.5803,1.082,0.6279
TGFB1,TGFBR2,Endothelial,Unknown,1.0881,0.5723,0.6227
TGFB1,TGFBR2,Unknown,NK cell,1.4415,0.4224,0.6089
TGFB1,TGFBR2,Myeloid/Macro,T cell,1.1381,0.5283,0.6013
SPP1,CD44,Dendritic cell,Myeloid/Macro,0.3228,1.8359,0.5926
SPP1,CD44,Dendritic cell,Unknown,0.3228,1.8285,0.5902
TGFB1,TGFBR2,T cell,B cell,1.4902,0.3957,0.5897
TGFB1,TGFBR2,Mast cell,Unknown,1.0175,0.5723,0.5823
TGFB1,TGFBR2,Endothelial,T cell,1.0881,0.5283,0.5748
SPP1,CD44,Plasma cell,Mast cell,0.2266,2.5294,0.5732
