metacell_id,n_cells,majority_cell_type,majority_leiden
0,40,NA,3
1,80,NA,0
2,42,NA,5
3,77,NA,8
4,62,NA,4
5,10,NA,12
6,81,NA,14
7,30,NA,5
8,31,NA,2
9,59,NA,11
10,121,NA,0
11,22,NA,13
12,27,NA,8
13,22,NA,9
14,27,NA,2
15,41,NA,6
16,51,NA,0
17,14,NA,7
18,33,NA,6
19,70,NA,2
20,17,NA,8
21,38,NA,2
22,54,NA,0
23,92,NA,4
24,11,NA,6
25,100,NA,14
26,137,NA,6
27,36,NA,5
28,7,NA,13
29,34,NA,4
30,52,NA,1
31,31,NA,12
32,49,NA,8
33,56,NA,3
34,18,NA,13
35,77,NA,8
36,54,NA,0
37,40,NA,12
38,52,NA,2
39,35,NA,9
40,42,NA,15
41,31,NA,10
42,59,NA,0
43,27,NA,16
44,31,NA,2
45,61,NA,6
46,55,NA,2
47,36,NA,8
48,47,NA,5
49,58,NA,1
