,cell_type,n_cells,PD-1,PD-1_pct,PD-L1,PD-L1_pct,PD-L2,PD-L2_pct,CTLA-4,CTLA-4_pct,LAG-3,LAG-3_pct,TIM-3,TIM-3_pct,TIGIT,TIGIT_pct,VISTA,VISTA_pct,IDO1,IDO1_pct,B7-H3,B7-H3_pct
0,T cell,776,0.5296,30.03,0.0486,3.61,0.0106,0.9,0.5394,30.54,0.4252,24.61,0.1186,7.86,0.6893,38.27,0.5016,31.31,0.0027,0.26,0.0,0.0
1,Myeloid/Macro,492,0.0575,8.94,0.0655,11.79,0.0552,11.18,0.0541,7.93,0.0628,9.76,0.5846,66.46,0.0561,8.54,0.6254,62.8,0.0735,5.89,0.1248,21.95
2,B cell,318,0.0652,5.35,0.0297,3.14,0.0065,0.63,0.0271,1.89,0.0,0.0,0.0109,1.26,0.0486,3.77,0.3844,28.62,0.008,0.63,0.0,0.0
3,Tumor epithelial,203,0.0161,2.46,0.0707,13.3,0.0031,1.48,0.0064,1.48,0.0388,2.96,0.0063,1.48,0.0075,0.49,0.1164,16.26,0.5152,39.9,0.1874,25.62
4,NK cell,204,0.3303,19.12,0.0277,1.96,0.0064,0.49,0.2552,14.22,0.5373,28.92,0.3185,17.16,0.5336,30.39,0.4042,24.51,0.0,0.0,0.0,0.0
5,Plasma cell,99,0.1477,11.11,0.041,6.06,0.0163,3.03,0.1364,9.09,0.1627,17.17,0.0284,4.04,0.2515,17.17,0.3275,35.35,0.0,0.0,0.0026,1.01
6,Endothelial,44,0.0995,6.82,0.1159,9.09,0.0,0.0,0.1583,11.36,0.048,4.55,0.0441,2.27,0.1942,11.36,0.745,54.55,0.2291,9.09,0.1739,13.64
7,Mast cell,93,0.056,3.23,0.2372,17.2,0.0389,3.23,0.0349,2.15,0.0424,2.15,0.3122,21.51,0.0572,3.23,0.5834,39.78,0.0058,1.08,0.1489,13.98
8,Unknown,104,0.2728,14.42,0.0,0.0,0.0,0.0,0.2928,17.31,0.1976,9.62,0.0691,2.88,0.3804,19.23,0.3853,22.12,0.0491,1.92,0.0174,0.96
9,Dendritic cell,18,0.0906,11.11,0.0328,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.1854,16.67,0.0,0.0,0.3693,27.78,0.0682,5.56,0.0,0.0
10,Fibroblast,26,0.0781,3.85,0.0118,3.85,0.0,0.0,0.021,3.85,0.038,7.69,0.024,7.69,0.092,3.85,0.4154,38.46,0.0,0.0,0.2327,30.77
