ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Myeloid/Macro,Mast cell,1.4071,2.5404,3.5746
SPP1,CD44,Myeloid/Macro,Myeloid/Macro,1.4071,1.8373,2.5853
SPP1,CD44,Myeloid/Macro,Unknown,1.4071,1.8285,2.5728
SPP1,CD44,Myeloid/Macro,T cell,1.4071,1.7707,2.4915
SPP1,CD44,Myeloid/Macro,NK cell,1.4071,1.7125,2.4097
SPP1,CD44,Myeloid/Macro,Dendritic cell,1.4071,1.5537,2.1863
SPP1,CD44,Myeloid/Macro,B cell,1.4071,1.4617,2.0568
TGFB1,TGFBR2,NK cell,Endothelial,1.8338,1.082,1.9842
SPP1,CD44,Myeloid/Macro,Fibroblast,1.4071,1.2495,1.7582
TGFB1,TGFBR2,T cell,Endothelial,1.4902,1.082,1.6124
SPP1,CD44,Myeloid/Macro,Plasma cell,1.4071,1.1263,1.5848
TGFB1,TGFBR2,Unknown,Endothelial,1.4415,1.082,1.5597
TGFB1,TGFBR2,Myeloid/Macro,Endothelial,1.1397,1.082,1.2332
TGFB1,TGFBR2,Endothelial,Endothelial,1.0881,1.082,1.1773
TGFB1,TGFBR2,Mast cell,Endothelial,1.0125,1.082,1.0955
TGFB1,TGFBR2,NK cell,Unknown,1.8338,0.5723,1.0494
TGFB1,TGFBR2,B cell,Endothelial,0.9361,1.082,1.0129
VEGFA,FLT1,Mast cell,Endothelial,1.1046,0.8809,0.973
TGFB1,TGFBR2,NK cell,T cell,1.8338,0.5283,0.9688
TGFB1,TGFBR2,Plasma cell,Endothelial,0.8928,1.082,0.966
SPP1,CD44,Myeloid/Macro,Endothelial,1.4071,0.6842,0.9628
TGFB1,TGFBR2,T cell,Unknown,1.4902,0.5723,0.8528
SPP1,CD44,Myeloid/Macro,Tumor epithelial,1.4071,0.6047,0.8509
TGFB1,TGFBR2,Unknown,Unknown,1.4415,0.5723,0.8249
TGFB1,TGFBR2,NK cell,Fibroblast,1.8338,0.4485,0.8225
TGFB1,TGFBR2,Dendritic cell,Endothelial,0.7559,1.082,0.8179
TGFB1,TGFBR2,T cell,T cell,1.4902,0.5283,0.7872
TGFB1,TGFBR2,NK cell,NK cell,1.8338,0.4172,0.765
TGFB1,TGFBR2,Unknown,T cell,1.4415,0.5283,0.7615
TGFB1,TGFBR2,NK cell,B cell,1.8338,0.3945,0.7233
CXCL12,CXCR4,Fibroblast,T cell,0.3063,2.2238,0.6811
VEGFA,FLT1,Myeloid/Macro,Endothelial,0.7644,0.8809,0.6734
CXCL12,CXCR4,Fibroblast,B cell,0.3063,2.1868,0.6697
TGFB1,TGFBR2,T cell,Fibroblast,1.4902,0.4485,0.6684
TGFB1,TGFBR2,Myeloid/Macro,Unknown,1.1397,0.5723,0.6522
TGFB1,TGFBR2,Fibroblast,Endothelial,0.6014,1.082,0.6508
TGFB1,TGFBR2,Unknown,Fibroblast,1.4415,0.4485,0.6466
CXCL12,CXCR4,Fibroblast,NK cell,0.3063,2.0931,0.641
TGFB1,TGFBR2,Tumor epithelial,Endothelial,0.5803,1.082,0.6279
TGFB1,TGFBR2,Endothelial,Unknown,1.0881,0.5723,0.6227
TGFB1,TGFBR2,T cell,NK cell,1.4902,0.4172,0.6217
TGFB1,TGFBR2,Myeloid/Macro,T cell,1.1397,0.5283,0.6021
TGFB1,TGFBR2,Unknown,NK cell,1.4415,0.4172,0.6014
TGFB1,TGFBR2,T cell,B cell,1.4902,0.3945,0.5878
TGFB1,TGFBR2,Mast cell,Unknown,1.0125,0.5723,0.5794
SPP1,CD44,Plasma cell,Mast cell,0.2266,2.5404,0.5757
TGFB1,TGFBR2,Endothelial,T cell,1.0881,0.5283,0.5748
CXCL12,CXCR4,Fibroblast,Unknown,0.3063,1.8662,0.5715
TGFB1,TGFBR2,Unknown,B cell,1.4415,0.3945,0.5686
TGFB1,TGFBR2,B cell,Unknown,0.9361,0.5723,0.5357
TGFB1,TGFBR2,Mast cell,T cell,1.0125,0.5283,0.5349
VEGFA,FLT1,Fibroblast,Endothelial,0.6013,0.8809,0.5297
TGFB1,TGFBR2,NK cell,Dendritic cell,1.8338,0.2876,0.5274
TGFB1,TGFBR2,Myeloid/Macro,Fibroblast,1.1397,0.4485,0.5112
TGFB1,TGFBR2,Plasma cell,Unknown,0.8928,0.5723,0.5109
TGFB1,TGFBR2,B cell,T cell,0.9361,0.5283,0.4945
TGFB1,TGFBR2,Endothelial,Fibroblast,1.0881,0.4485,0.4881
TGFB1,TGFBR2,NK cell,Myeloid/Macro,1.8338,0.2636,0.4833
TGFB1,TGFBR2,Myeloid/Macro,NK cell,1.1397,0.4172,0.4755
TGFB1,TGFBR2,Plasma cell,T cell,0.8928,0.5283,0.4717
CXCL12,CXCR4,Fibroblast,Dendritic cell,0.3063,1.493,0.4573
TGFB1,TGFBR2,Mast cell,Fibroblast,1.0125,0.4485,0.4541
TGFB1,TGFBR2,Endothelial,NK cell,1.0881,0.4172,0.454
TGFB1,TGFBR2,Myeloid/Macro,B cell,1.1397,0.3945,0.4496
TGFB1,TGFBR2,Dendritic cell,Unknown,0.7559,0.5723,0.4326
TGFB1,TGFBR2,Endothelial,B cell,1.0881,0.3945,0.4292
TGFB1,TGFBR2,T cell,Dendritic cell,1.4902,0.2876,0.4286
SPP1,CD44,Fibroblast,Mast cell,0.1672,2.5404,0.4248
TGFB1,TGFBR2,Mast cell,NK cell,1.0125,0.4172,0.4224
TGFB1,TGFBR2,B cell,Fibroblast,0.9361,0.4485,0.4199
SPP1,CD44,Plasma cell,Myeloid/Macro,0.2266,1.8373,0.4164
TGFB1,TGFBR2,Unknown,Dendritic cell,1.4415,0.2876,0.4146
SPP1,CD44,Plasma cell,Unknown,0.2266,1.8285,0.4144
TGFB1,TGFBR2,NK cell,Mast cell,1.8338,0.2204,0.4041
CCL5,CCR5,NK cell,Dendritic cell,3.3874,0.1186,0.4016
SPP1,CD44,Plasma cell,T cell,0.2266,1.7707,0.4013
TGFB1,TGFBR2,Plasma cell,Fibroblast,0.8928,0.4485,0.4005
TGFB1,TGFBR2,Dendritic cell,T cell,0.7559,0.5283,0.3994
TGFB1,TGFBR2,Mast cell,B cell,1.0125,0.3945,0.3994
VEGFA,FLT1,Tumor epithelial,Endothelial,0.4498,0.8809,0.3962
TGFB1,TGFBR2,T cell,Myeloid/Macro,1.4902,0.2636,0.3928
TGFB1,TGFBR2,B cell,NK cell,0.9361,0.4172,0.3905
SPP1,CD44,Plasma cell,NK cell,0.2266,1.7125,0.3881
CXCL12,CXCR4,Fibroblast,Myeloid/Macro,0.3063,1.2666,0.3879
SPP1,CD44,Dendritic cell,Mast cell,0.1526,2.5404,0.3877
TGFB1,TGFBR2,Unknown,Myeloid/Macro,1.4415,0.2636,0.3799
TGFB1,TGFBR2,Plasma cell,NK cell,0.8928,0.4172,0.3725
TGFB1,TGFBR2,NK cell,Plasma cell,1.8338,0.2018,0.3701
TGFB1,TGFBR2,B cell,B cell,0.9361,0.3945,0.3692
TGFB1,TGFBR2,Plasma cell,B cell,0.8928,0.3945,0.3522
SPP1,CD44,Plasma cell,Dendritic cell,0.2266,1.5537,0.3521
IL6,IL6R,Fibroblast,Myeloid/Macro,0.4471,0.7741,0.3461
TGFB1,TGFBR2,Fibroblast,Unknown,0.6014,0.5723,0.3442
