gene,pseudotime_correlation
CSTA,0.59013784
KRT19,0.5700336
KRT6A,0.55690795
KRT5,0.55533886
S100A2,0.5540616
S100A9,0.55185443
KRT15,0.54098
MIR205HG,0.537663
FXYD3,0.5374698
SFN,0.52941936
S100A14,0.528487
CALML3,0.524662
LRMDA,0.52274287
IGFBP2,0.521169
LINC00511,0.51900667
PTHLH,0.5181357
NTS,0.5137387
S100A8,0.5119153
DAPL1,0.5032592
PITX1,0.4994977
JUP,0.48884907
CLDN1,0.48255265
S100A16,0.4810622
TRIM29,0.4788836
CCL5,-0.47436997
TPSAB1,0.47188175
CPA3,0.46795735
CST3,0.4657509
ADAM9,0.46470997
TPSB2,0.46040452
