ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Myeloid/Macro,Mast cell,1.4071,2.5404,3.5746
SPP1,CD44,Myeloid/Macro,Unknown,1.4071,1.8479,2.6002
SPP1,CD44,Myeloid/Macro,Myeloid/Macro,1.4071,1.8373,2.5853
SPP1,CD44,Myeloid/Macro,T cell,1.4071,1.7587,2.4746
SPP1,CD44,Myeloid/Macro,NK cell,1.4071,1.7429,2.4524
SPP1,CD44,Myeloid/Macro,Dendritic cell,1.4071,1.4728,2.0724
SPP1,CD44,Myeloid/Macro,B cell,1.4071,1.4571,2.0503
TGFB1,TGFBR2,NK cell,Endothelial,1.8423,1.1072,2.0398
SPP1,CD44,Myeloid/Macro,Fibroblast,1.4071,1.3545,1.906
TGFB1,TGFBR2,T cell,Endothelial,1.487,1.1072,1.6464
TGFB1,TGFBR2,Unknown,Endothelial,1.4363,1.1072,1.5902
SPP1,CD44,Myeloid/Macro,Plasma cell,1.4071,1.0933,1.5384
TGFB1,TGFBR2,Myeloid/Macro,Endothelial,1.1397,1.1072,1.2619
TGFB1,TGFBR2,Endothelial,Endothelial,1.1134,1.1072,1.2327
TGFB1,TGFBR2,Mast cell,Endothelial,1.0125,1.1072,1.121
TGFB1,TGFBR2,B cell,Endothelial,0.9306,1.1072,1.0304
TGFB1,TGFBR2,Plasma cell,Endothelial,0.9078,1.1072,1.0051
VEGFA,FLT1,Mast cell,Endothelial,1.1046,0.9014,0.9956
TGFB1,TGFBR2,NK cell,T cell,1.8423,0.5351,0.9858
SPP1,CD44,Myeloid/Macro,Endothelial,1.4071,0.7001,0.9851
TGFB1,TGFBR2,NK cell,Unknown,1.8423,0.5026,0.926
SPP1,CD44,Myeloid/Macro,Tumor epithelial,1.4071,0.6114,0.8604
TGFB1,TGFBR2,NK cell,Fibroblast,1.8423,0.4319,0.7958
TGFB1,TGFBR2,T cell,T cell,1.487,0.5351,0.7957
TGFB1,TGFBR2,Unknown,T cell,1.4363,0.5351,0.7685
TGFB1,TGFBR2,NK cell,NK cell,1.8423,0.4093,0.7541
TGFB1,TGFBR2,Dendritic cell,Endothelial,0.6772,1.1072,0.7498
TGFB1,TGFBR2,T cell,Unknown,1.487,0.5026,0.7474
TGFB1,TGFBR2,NK cell,B cell,1.8423,0.3982,0.7336
TGFB1,TGFBR2,Unknown,Unknown,1.4363,0.5026,0.7219
VEGFA,FLT1,Myeloid/Macro,Endothelial,0.7644,0.9014,0.689
TGFB1,TGFBR2,Fibroblast,Endothelial,0.6044,1.1072,0.6692
CXCL12,CXCR4,Fibroblast,T cell,0.2949,2.2242,0.656
CXCL12,CXCR4,Fibroblast,B cell,0.2949,2.1976,0.6481
TGFB1,TGFBR2,Tumor epithelial,Endothelial,0.5814,1.1072,0.6438
TGFB1,TGFBR2,T cell,Fibroblast,1.487,0.4319,0.6423
TGFB1,TGFBR2,Unknown,Fibroblast,1.4363,0.4319,0.6204
TGFB1,TGFBR2,Myeloid/Macro,T cell,1.1397,0.5351,0.6099
CXCL12,CXCR4,Fibroblast,NK cell,0.2949,2.0671,0.6096
TGFB1,TGFBR2,T cell,NK cell,1.487,0.4093,0.6087
TGFB1,TGFBR2,Endothelial,T cell,1.1134,0.5351,0.5958
SPP1,CD44,Plasma cell,Mast cell,0.2337,2.5404,0.5937
TGFB1,TGFBR2,T cell,B cell,1.487,0.3982,0.5921
TGFB1,TGFBR2,Unknown,NK cell,1.4363,0.4093,0.5879
CXCL12,CXCR4,Fibroblast,Unknown,0.2949,1.9708,0.5812
TGFB1,TGFBR2,Myeloid/Macro,Unknown,1.1397,0.5026,0.5728
TGFB1,TGFBR2,Unknown,B cell,1.4363,0.3982,0.5719
TGFB1,TGFBR2,NK cell,Dendritic cell,1.8423,0.3056,0.563
TGFB1,TGFBR2,Endothelial,Unknown,1.1134,0.5026,0.5596
TGFB1,TGFBR2,Mast cell,T cell,1.0125,0.5351,0.5418
VEGFA,FLT1,Fibroblast,Endothelial,0.579,0.9014,0.5219
TGFB1,TGFBR2,Mast cell,Unknown,1.0125,0.5026,0.5089
TGFB1,TGFBR2,B cell,T cell,0.9306,0.5351,0.498
TGFB1,TGFBR2,Myeloid/Macro,Fibroblast,1.1397,0.4319,0.4923
TGFB1,TGFBR2,Plasma cell,T cell,0.9078,0.5351,0.4858
TGFB1,TGFBR2,NK cell,Myeloid/Macro,1.8423,0.2636,0.4856
TGFB1,TGFBR2,Endothelial,Fibroblast,1.1134,0.4319,0.4809
TGFB1,TGFBR2,B cell,Unknown,0.9306,0.5026,0.4677
TGFB1,TGFBR2,Myeloid/Macro,NK cell,1.1397,0.4093,0.4665
TGFB1,TGFBR2,Plasma cell,Unknown,0.9078,0.5026,0.4563
TGFB1,TGFBR2,Endothelial,NK cell,1.1134,0.4093,0.4557
TGFB1,TGFBR2,T cell,Dendritic cell,1.487,0.3056,0.4544
TGFB1,TGFBR2,Myeloid/Macro,B cell,1.1397,0.3982,0.4538
TGFB1,TGFBR2,Endothelial,B cell,1.1134,0.3982,0.4434
TGFB1,TGFBR2,Unknown,Dendritic cell,1.4363,0.3056,0.4389
TGFB1,TGFBR2,Mast cell,Fibroblast,1.0125,0.4319,0.4373
SPP1,CD44,Plasma cell,Unknown,0.2337,1.8479,0.4319
SPP1,CD44,Plasma cell,Myeloid/Macro,0.2337,1.8373,0.4294
TGFB1,TGFBR2,Mast cell,NK cell,1.0125,0.4093,0.4144
SPP1,CD44,Dendritic cell,Mast cell,0.1621,2.5404,0.4119
SPP1,CD44,Plasma cell,T cell,0.2337,1.7587,0.411
CXCL12,CXCR4,Fibroblast,Dendritic cell,0.2949,1.3883,0.4094
SPP1,CD44,Fibroblast,Mast cell,0.161,2.5404,0.409
SPP1,CD44,Plasma cell,NK cell,0.2337,1.7429,0.4073
TGFB1,TGFBR2,NK cell,Mast cell,1.8423,0.2204,0.406
TGFB1,TGFBR2,Mast cell,B cell,1.0125,0.3982,0.4032
TGFB1,TGFBR2,B cell,Fibroblast,0.9306,0.4319,0.402
VEGFA,FLT1,Tumor epithelial,Endothelial,0.4454,0.9014,0.4015
TGFB1,TGFBR2,Plasma cell,Fibroblast,0.9078,0.4319,0.3921
TGFB1,TGFBR2,T cell,Myeloid/Macro,1.487,0.2636,0.3919
TGFB1,TGFBR2,B cell,NK cell,0.9306,0.4093,0.3809
TGFB1,TGFBR2,Unknown,Myeloid/Macro,1.4363,0.2636,0.3786
CXCL12,CXCR4,Fibroblast,Myeloid/Macro,0.2949,1.2666,0.3735
TGFB1,TGFBR2,Plasma cell,NK cell,0.9078,0.4093,0.3716
TGFB1,TGFBR2,B cell,B cell,0.9306,0.3982,0.3706
TGFB1,TGFBR2,Dendritic cell,T cell,0.6772,0.5351,0.3624
TGFB1,TGFBR2,Plasma cell,B cell,0.9078,0.3982,0.3615
TGFB1,TGFBR2,NK cell,Plasma cell,1.8423,0.191,0.3519
TGFB1,TGFBR2,Myeloid/Macro,Dendritic cell,1.1397,0.3056,0.3483
SPP1,CD44,Plasma cell,Dendritic cell,0.2337,1.4728,0.3442
SPP1,CD44,Plasma cell,B cell,0.2337,1.4571,0.3406
TGFB1,TGFBR2,Dendritic cell,Unknown,0.6772,0.5026,0.3404
TGFB1,TGFBR2,Endothelial,Dendritic cell,1.1134,0.3056,0.3402
TNF,TNFRSF1A,Dendritic cell,Tumor epithelial,0.5106,0.6576,0.3358
IL6,IL6R,Fibroblast,Myeloid/Macro,0.4306,0.7741,0.3333
CD80,CTLA4,Dendritic cell,T cell,0.6036,0.552,0.3332
TGFB1,TGFBR2,T cell,Mast cell,1.487,0.2204,0.3277
TGFB1,TGFBR2,Fibroblast,T cell,0.6044,0.5351,0.3234
SPP1,CD44,Plasma cell,Fibroblast,0.2337,1.3545,0.3166
TGFB1,TGFBR2,Unknown,Mast cell,1.4363,0.2204,0.3165
TGFB1,TGFBR2,Tumor epithelial,T cell,0.5814,0.5351,0.3111
TGFB1,TGFBR2,Mast cell,Dendritic cell,1.0125,0.3056,0.3094
CXCL12,CXCR4,Fibroblast,Plasma cell,0.2949,1.0476,0.3089
CDH1,CDH1,Tumor epithelial,Tumor epithelial,0.5557,0.5557,0.3088
TGFB1,TGFBR2,Fibroblast,Unknown,0.6044,0.5026,0.3038
CCL5,CCR5,NK cell,T cell,3.3625,0.0903,0.3037
TNF,TNFRSF1A,Dendritic cell,Myeloid/Macro,0.5106,0.5912,0.3019
TGFB1,TGFBR2,Myeloid/Macro,Myeloid/Macro,1.1397,0.2636,0.3004
SPP1,CD44,Dendritic cell,Unknown,0.1621,1.8479,0.2996
SPP1,CD44,Dendritic cell,Myeloid/Macro,0.1621,1.8373,0.2979
SPP1,CD44,Fibroblast,Unknown,0.161,1.8479,0.2975
SPP1,CD44,Fibroblast,Myeloid/Macro,0.161,1.8373,0.2958
TGFB1,TGFBR2,Endothelial,Myeloid/Macro,1.1134,0.2636,0.2935
TGFB1,TGFBR2,Dendritic cell,Fibroblast,0.6772,0.4319,0.2925
TGFB1,TGFBR2,Tumor epithelial,Unknown,0.5814,0.5026,0.2922
SPP1,CD44,Dendritic cell,T cell,0.1621,1.7587,0.2851
TGFB1,TGFBR2,B cell,Dendritic cell,0.9306,0.3056,0.2844
TGFB1,TGFBR2,T cell,Plasma cell,1.487,0.191,0.2841
SPP1,CD44,Fibroblast,T cell,0.161,1.7587,0.2832
SPP1,CD44,Dendritic cell,NK cell,0.1621,1.7429,0.2826
SPP1,CD44,Fibroblast,NK cell,0.161,1.7429,0.2806
TGFB1,TGFBR2,Plasma cell,Dendritic cell,0.9078,0.3056,0.2774
TGFB1,TGFBR2,Dendritic cell,NK cell,0.6772,0.4093,0.2772
CCL5,CCR5,NK cell,NK cell,3.3625,0.0824,0.2772
TGFB1,TGFBR2,Unknown,Plasma cell,1.4363,0.191,0.2744
TGFB1,TGFBR2,Dendritic cell,B cell,0.6772,0.3982,0.2697
TGFB1,TGFBR2,Mast cell,Myeloid/Macro,1.0125,0.2636,0.2669
TGFB1,TGFBR2,Fibroblast,Fibroblast,0.6044,0.4319,0.2611
TNF,TNFRSF1A,Dendritic cell,Fibroblast,0.5106,0.5097,0.2603
SPP1,CD44,Mast cell,Mast cell,0.1024,2.5404,0.2602
CCL5,CCR5,NK cell,Myeloid/Macro,3.3625,0.0774,0.2602
CXCL12,CXCR4,Fibroblast,Endothelial,0.2949,0.8784,0.2591
TNF,TNFRSF1A,B cell,Tumor epithelial,0.3905,0.6576,0.2568
SPP1,CD44,Plasma cell,Plasma cell,0.2337,1.0933,0.2555
TGFB1,TGFBR2,Myeloid/Macro,Mast cell,1.1397,0.2204,0.2512
TGFB1,TGFBR2,Tumor epithelial,Fibroblast,0.5814,0.4319,0.2511
TGFB1,TGFBR2,Fibroblast,NK cell,0.6044,0.4093,0.2474
TGFB1,TGFBR2,Endothelial,Mast cell,1.1134,0.2204,0.2454
TGFB1,TGFBR2,B cell,Myeloid/Macro,0.9306,0.2636,0.2453
TNF,TNFRSF1A,NK cell,Tumor epithelial,0.3667,0.6576,0.2411
TGFB1,TGFBR2,Fibroblast,B cell,0.6044,0.3982,0.2407
SPP1,CD44,Unknown,Mast cell,0.0947,2.5404,0.2406
TGFB1,TGFBR2,Plasma cell,Myeloid/Macro,0.9078,0.2636,0.2393
SPP1,CD44,Dendritic cell,Dendritic cell,0.1621,1.4728,0.2388
CXCL12,CXCR4,Fibroblast,Fibroblast,0.2949,0.8076,0.2382
TGFB1,TGFBR2,Tumor epithelial,NK cell,0.5814,0.4093,0.238
SPP1,CD44,Fibroblast,Dendritic cell,0.161,1.4728,0.2371
SPP1,CD44,Dendritic cell,B cell,0.1621,1.4571,0.2363
SPP1,CD44,Fibroblast,B cell,0.161,1.4571,0.2346
TGFB1,TGFBR2,Tumor epithelial,B cell,0.5814,0.3982,0.2315
SPP1,CD44,Endothelial,Mast cell,0.0909,2.5404,0.231
TNF,TNFRSF1A,B cell,Myeloid/Macro,0.3905,0.5912,0.2308
TNF,TNFRSF1A,T cell,Tumor epithelial,0.341,0.6576,0.2243
TGFB1,TGFBR2,Mast cell,Mast cell,1.0125,0.2204,0.2231
SPP1,CD44,Dendritic cell,Fibroblast,0.1621,1.3545,0.2196
SPP1,CD44,Fibroblast,Fibroblast,0.161,1.3545,0.2181
TGFB1,TGFBR2,Myeloid/Macro,Plasma cell,1.1397,0.191,0.2177
TNF,TNFRSF1A,NK cell,Myeloid/Macro,0.3667,0.5912,0.2168
TGFB1,TGFBR2,Endothelial,Plasma cell,1.1134,0.191,0.2127
TGFB1,TGFBR2,Dendritic cell,Dendritic cell,0.6772,0.3056,0.2069
TGFB1,TGFBR2,B cell,Mast cell,0.9306,0.2204,0.2051
TNF,TNFRSF1A,T cell,Myeloid/Macro,0.341,0.5912,0.2016
TNF,TNFRSF1A,Dendritic cell,Endothelial,0.5106,0.3939,0.2011
TGFB1,TGFBR2,Plasma cell,Mast cell,0.9078,0.2204,0.2
TNF,TNFRSF1A,B cell,Fibroblast,0.3905,0.5097,0.199
TGFB1,TGFBR2,Mast cell,Plasma cell,1.0125,0.191,0.1934
TGFB1,TGFBR2,NK cell,Tumor epithelial,1.8423,0.1047,0.1929
VEGFA,KDR,Mast cell,Endothelial,1.1046,0.1746,0.1928
SPP1,CD44,NK cell,Mast cell,0.0755,2.5404,0.1919
SPP1,CD44,Tumor epithelial,Mast cell,0.0751,2.5404,0.1909
