leiden,immune_subtype,count
0,CD4_memory,83
0,CD4_naive,3
0,CD8_effector,189
0,CD8_exhausted,62
0,CD8_memory,13
0,Immune_unassi,1
0,Macro_M2,1
0,NK_cytotoxic,14
0,Th1,16
0,Th17,4
0,Th2,3
0,Treg,1
0,pDC,1
1,CD4_memory,103
1,CD4_naive,23
1,CD8_effector,75
1,CD8_exhausted,27
1,CD8_memory,10
1,Immune_unassi,1
1,Macro_M2,1
1,NK_cytotoxic,7
1,Th1,17
1,Th17,4
1,Th2,4
1,Treg,20
1,cDC1,2
1,pDC,3
2,CD4_memory,30
2,CD8_effector,1
2,Macro_M1,26
2,Macro_M2,233
2,Treg,5
2,cDC2,3
2,pDC,3
3,CD4_memory,47
3,CD4_naive,3
3,CD8_effector,2
3,CD8_exhausted,1
3,CD8_memory,1
3,Immune_unassi,1
3,Macro_M1,27
3,Macro_M2,49
3,Th17,1
3,cDC1,14
3,cDC2,32
3,pDC,5
4,CD4_memory,1
4,CD4_naive,13
4,CD8_effector,1
4,CD8_memory,2
4,Immune_unassi,5
4,Macro_M1,9
4,Th1,3
4,Th17,10
4,Treg,2
4,cDC1,37
4,cDC2,5
4,pDC,22
5,Immune_unassi,1
5,NK_cytotoxic,1
6,CD4_memory,113
6,CD4_naive,31
6,CD8_effector,2
6,CD8_exhausted,18
6,CD8_memory,12
6,Macro_M2,1
6,NK_cytotoxic,1
6,Th17,2
6,Th2,6
6,Treg,45
6,pDC,1
7,CD4_naive,1
7,Immune_unassi,5
7,Macro_M1,2
7,Macro_M2,1
7,NK_cytotoxic,1
7,cDC1,1
8,CD4_memory,7
8,CD4_naive,1
8,CD8_effector,37
8,CD8_exhausted,7
8,CD8_memory,3
8,Macro_M2,5
8,NK_cytotoxic,16
8,Th1,1
8,Th17,1
8,Th2,1
8,Treg,3
9,CD4_memory,7
9,CD4_naive,2
9,CD8_effector,6
9,CD8_exhausted,1
9,CD8_memory,2
9,Immune_unassi,18
9,Macro_M2,2
9,Th1,1
9,Th17,1
9,Th2,1
9,Treg,2
9,pDC,24
10,Immune_unassi,3
10,pDC,1
11,CD4_memory,63
11,CD8_exhausted,2
11,Immune_unassi,2
11,Macro_M2,2
11,Th1,1
11,Th2,4
11,Treg,4
11,cDC1,1
11,cDC2,2
11,pDC,1
12,Immune_unassi,1
13,CD4_memory,1
13,CD4_naive,28
13,CD8_effector,1
13,CD8_exhausted,2
13,CD8_memory,4
13,Immune_unassi,9
13,Macro_M1,6
13,Macro_M2,1
13,Th1,1
13,Th17,36
13,Treg,2
13,cDC1,72
13,cDC2,4
13,pDC,58
