leiden,count,mean,median,std,min,max
0,414,0.015959084,0.01578829,0.004046396,0.0,0.03940565
1,328,0.018341253,0.017245337,0.0068161096,0.0081664175,0.08181946
2,303,0.1987293,0.19933584,0.01025595,0.12698467,0.22299854
3,184,0.17291966,0.17718358,0.01615435,0.100163646,0.19809446
4,111,0.09699517,0.097799525,0.005774778,0.06854105,0.10621845
5,155,0.8871076,0.8809512,0.053839922,0.75154483,1.0
6,288,0.013553872,0.011807456,0.008389232,0.0053230934,0.0990723
7,14,0.21231154,0.21341448,0.003303554,0.20241858,0.2148922
8,100,0.021942832,0.020127945,0.012876127,0.013796324,0.112378284
9,67,0.18849437,0.16950873,0.051808756,0.118054375,0.31766644
10,58,0.197982,0.20161793,0.015904313,0.09887985,0.21105087
11,82,0.7514615,0.74517155,0.041723106,0.51041764,0.83290917
12,47,0.24775219,0.25288245,0.03434133,0.155922,0.284866
13,226,0.11063635,0.110502034,0.008054057,0.06947776,0.14584845
