gene,pseudotime_correlation
KRT19,0.7368223
CD9,0.7281293
KRT6A,0.71752894
KRT5,0.71496266
HLA-B,-0.71171457
S100A2,0.709297
FXYD3,0.697039
KRT15,0.69116306
SFN,0.6896245
CALML3,0.68558186
S100A14,0.68214023
IGFBP2,0.6808456
MIR205HG,0.6695676
PTHLH,0.6673363
NTS,0.6668616
CSTA,0.6597649
DAPL1,0.6502364
PITX1,0.642682
HLA-A,-0.63654274
S100A16,0.63652503
CLDN1,0.62904495
TRIM29,0.6081601
HLA-C,-0.6039146
LINC00511,0.5968629
PDZK1IP1,0.59479207
TACSTD2,0.5828913
JUP,0.5816588
NDUFA4L2,0.5808944
H1-0,0.5807571
KRT8,0.5730741
