ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Myeloid/Macro,Mast cell,1.4023,2.5419,3.5644
SPP1,CD44,Myeloid/Macro,Unknown,1.4023,1.8578,2.6052
SPP1,CD44,Myeloid/Macro,Myeloid/Macro,1.4023,1.8385,2.578
SPP1,CD44,Myeloid/Macro,T cell,1.4023,1.7718,2.4845
SPP1,CD44,Myeloid/Macro,NK cell,1.4023,1.7346,2.4325
SPP1,CD44,Myeloid/Macro,Dendritic cell,1.4023,1.5081,2.1148
TGFB1,TGFBR2,NK cell,Endothelial,1.859,1.1072,2.0582
SPP1,CD44,Myeloid/Macro,B cell,1.4023,1.4591,2.0461
SPP1,CD44,Myeloid/Macro,Fibroblast,1.4023,1.2899,1.8089
TGFB1,TGFBR2,T cell,Endothelial,1.4954,1.1072,1.6557
TGFB1,TGFBR2,Unknown,Endothelial,1.3928,1.1072,1.5421
SPP1,CD44,Myeloid/Macro,Plasma cell,1.4023,1.003,1.4064
TGFB1,TGFBR2,Myeloid/Macro,Endothelial,1.1382,1.1072,1.2602
TGFB1,TGFBR2,Endothelial,Endothelial,1.1134,1.1072,1.2327
TGFB1,TGFBR2,Mast cell,Endothelial,1.0075,1.1072,1.1154
TGFB1,TGFBR2,NK cell,Unknown,1.859,0.5587,1.0386
TGFB1,TGFBR2,B cell,Endothelial,0.9349,1.1072,1.0351
VEGFA,FLT1,Mast cell,Endothelial,1.1166,0.9014,1.0064
TGFB1,TGFBR2,NK cell,T cell,1.859,0.5342,0.993
SPP1,CD44,Myeloid/Macro,Endothelial,1.4023,0.7001,0.9818
TGFB1,TGFBR2,Plasma cell,Endothelial,0.8147,1.1072,0.902
TGFB1,TGFBR2,Dendritic cell,Endothelial,0.7692,1.1072,0.8516
SPP1,CD44,Myeloid/Macro,Tumor epithelial,1.4023,0.6018,0.8439
TGFB1,TGFBR2,T cell,Unknown,1.4954,0.5587,0.8355
TGFB1,TGFBR2,NK cell,Fibroblast,1.859,0.4319,0.8029
TGFB1,TGFBR2,T cell,T cell,1.4954,0.5342,0.7988
TGFB1,TGFBR2,Unknown,Unknown,1.3928,0.5587,0.7782
TGFB1,TGFBR2,NK cell,NK cell,1.859,0.4139,0.7695
TGFB1,TGFBR2,Unknown,T cell,1.3928,0.5342,0.744
SPP1,CD44,Dendritic cell,Mast cell,0.2905,2.5419,0.7384
TGFB1,TGFBR2,NK cell,B cell,1.859,0.3944,0.7333
VEGFA,FLT1,Myeloid/Macro,Endothelial,0.7707,0.9014,0.6947
TGFB1,TGFBR2,Fibroblast,Endothelial,0.6239,1.1072,0.6908
TGFB1,TGFBR2,T cell,Fibroblast,1.4954,0.4319,0.6459
TGFB1,TGFBR2,Tumor epithelial,Endothelial,0.5774,1.1072,0.6393
TGFB1,TGFBR2,Myeloid/Macro,Unknown,1.1382,0.5587,0.6359
SPP1,CD44,Plasma cell,Mast cell,0.2466,2.5419,0.6267
TGFB1,TGFBR2,Endothelial,Unknown,1.1134,0.5587,0.6221
TGFB1,TGFBR2,T cell,NK cell,1.4954,0.4139,0.619
TGFB1,TGFBR2,Myeloid/Macro,T cell,1.1382,0.5342,0.608
TGFB1,TGFBR2,Unknown,Fibroblast,1.3928,0.4319,0.6016
TGFB1,TGFBR2,Endothelial,T cell,1.1134,0.5342,0.5947
TGFB1,TGFBR2,T cell,B cell,1.4954,0.3944,0.5898
TGFB1,TGFBR2,Unknown,NK cell,1.3928,0.4139,0.5765
TGFB1,TGFBR2,Mast cell,Unknown,1.0075,0.5587,0.5629
TGFB1,TGFBR2,Unknown,B cell,1.3928,0.3944,0.5494
SPP1,CD44,Dendritic cell,Unknown,0.2905,1.8578,0.5397
TGFB1,TGFBR2,Mast cell,T cell,1.0075,0.5342,0.5381
SPP1,CD44,Dendritic cell,Myeloid/Macro,0.2905,1.8385,0.5341
TGFB1,TGFBR2,B cell,Unknown,0.9349,0.5587,0.5223
VEGFA,FLT1,Fibroblast,Endothelial,0.579,0.9014,0.5219
SPP1,CD44,Dendritic cell,T cell,0.2905,1.7718,0.5147
SPP1,CD44,Dendritic cell,NK cell,0.2905,1.7346,0.5039
TGFB1,TGFBR2,B cell,T cell,0.9349,0.5342,0.4994
TGFB1,TGFBR2,NK cell,Myeloid/Macro,1.859,0.266,0.4945
TGFB1,TGFBR2,Myeloid/Macro,Fibroblast,1.1382,0.4319,0.4916
TGFB1,TGFBR2,Endothelial,Fibroblast,1.1134,0.4319,0.4809
TGFB1,TGFBR2,Myeloid/Macro,NK cell,1.1382,0.4139,0.4711
TGFB1,TGFBR2,Endothelial,NK cell,1.1134,0.4139,0.4609
SPP1,CD44,Plasma cell,Unknown,0.2466,1.8578,0.4581
TGFB1,TGFBR2,Plasma cell,Unknown,0.8147,0.5587,0.4551
TGFB1,TGFBR2,NK cell,Dendritic cell,1.859,0.2445,0.4544
SPP1,CD44,Plasma cell,Myeloid/Macro,0.2466,1.8385,0.4533
TGFB1,TGFBR2,Myeloid/Macro,B cell,1.1382,0.3944,0.449
TGFB1,TGFBR2,Endothelial,B cell,1.1134,0.3944,0.4392
SPP1,CD44,Dendritic cell,Dendritic cell,0.2905,1.5081,0.4381
SPP1,CD44,Plasma cell,T cell,0.2466,1.7718,0.4368
TGFB1,TGFBR2,Mast cell,Fibroblast,1.0075,0.4319,0.4352
TGFB1,TGFBR2,Plasma cell,T cell,0.8147,0.5342,0.4351
TGFB1,TGFBR2,Dendritic cell,Unknown,0.7692,0.5587,0.4297
SPP1,CD44,Plasma cell,NK cell,0.2466,1.7346,0.4277
SPP1,CD44,Dendritic cell,B cell,0.2905,1.4591,0.4239
TGFB1,TGFBR2,Mast cell,NK cell,1.0075,0.4139,0.417
TGFB1,TGFBR2,Dendritic cell,T cell,0.7692,0.5342,0.4108
SPP1,CD44,Fibroblast,Mast cell,0.161,2.5419,0.4093
TGFB1,TGFBR2,B cell,Fibroblast,0.9349,0.4319,0.4038
VEGFA,FLT1,Tumor epithelial,Endothelial,0.4476,0.9014,0.4035
TGFB1,TGFBR2,T cell,Myeloid/Macro,1.4954,0.266,0.3978
TGFB1,TGFBR2,Mast cell,B cell,1.0075,0.3944,0.3974
TGFB1,TGFBR2,B cell,NK cell,0.9349,0.4139,0.387
TGFB1,TGFBR2,NK cell,Mast cell,1.859,0.2068,0.3844
SPP1,CD44,Dendritic cell,Fibroblast,0.2905,1.2899,0.3747
SPP1,CD44,Plasma cell,Dendritic cell,0.2466,1.5081,0.3718
TGFB1,TGFBR2,Unknown,Myeloid/Macro,1.3928,0.266,0.3705
TGFB1,TGFBR2,B cell,B cell,0.9349,0.3944,0.3688
TGFB1,TGFBR2,T cell,Dendritic cell,1.4954,0.2445,0.3656
SPP1,CD44,Plasma cell,B cell,0.2466,1.4591,0.3598
TGFB1,TGFBR2,Plasma cell,Fibroblast,0.8147,0.4319,0.3519
TGFB1,TGFBR2,Fibroblast,Unknown,0.6239,0.5587,0.3486
TGFB1,TGFBR2,Unknown,Dendritic cell,1.3928,0.2445,0.3405
TGFB1,TGFBR2,Plasma cell,NK cell,0.8147,0.4139,0.3372
IL6,IL6R,Fibroblast,Myeloid/Macro,0.4306,0.7763,0.3343
TGFB1,TGFBR2,Fibroblast,T cell,0.6239,0.5342,0.3333
TGFB1,TGFBR2,Dendritic cell,Fibroblast,0.7692,0.4319,0.3322
TGFB1,TGFBR2,Tumor epithelial,Unknown,0.5774,0.5587,0.3226
TGFB1,TGFBR2,Plasma cell,B cell,0.8147,0.3944,0.3213
TGFB1,TGFBR2,Dendritic cell,NK cell,0.7692,0.4139,0.3184
SPP1,CD44,Plasma cell,Fibroblast,0.2466,1.2899,0.318
CDH1,CDH1,Tumor epithelial,Tumor epithelial,0.5585,0.5585,0.3119
TGFB1,TGFBR2,T cell,Mast cell,1.4954,0.2068,0.3092
TGFB1,TGFBR2,Tumor epithelial,T cell,0.5774,0.5342,0.3084
TGFB1,TGFBR2,Dendritic cell,B cell,0.7692,0.3944,0.3034
TGFB1,TGFBR2,Myeloid/Macro,Myeloid/Macro,1.1382,0.266,0.3028
SPP1,CD44,Fibroblast,Unknown,0.161,1.8578,0.2991
TGFB1,TGFBR2,Endothelial,Myeloid/Macro,1.1134,0.266,0.2961
SPP1,CD44,Fibroblast,Myeloid/Macro,0.161,1.8385,0.296
SPP1,CD44,Dendritic cell,Plasma cell,0.2905,1.003,0.2914
TGFB1,TGFBR2,Unknown,Mast cell,1.3928,0.2068,0.288
TGFB1,TGFBR2,NK cell,Plasma cell,1.859,0.1542,0.2866
SPP1,CD44,Fibroblast,T cell,0.161,1.7718,0.2853
SPP1,CD44,Fibroblast,NK cell,0.161,1.7346,0.2793
TGFB1,TGFBR2,Myeloid/Macro,Dendritic cell,1.1382,0.2445,0.2783
TGFB1,TGFBR2,Endothelial,Dendritic cell,1.1134,0.2445,0.2722
TNF,TNFRSF1A,Dendritic cell,Tumor epithelial,0.4085,0.6608,0.27
TGFB1,TGFBR2,Fibroblast,Fibroblast,0.6239,0.4319,0.2695
TGFB1,TGFBR2,Mast cell,Myeloid/Macro,1.0075,0.266,0.268
SPP1,CD44,Mast cell,Mast cell,0.1035,2.5419,0.2631
TNF,TNFRSF1A,B cell,Tumor epithelial,0.3957,0.6608,0.2615
CD80,CTLA4,Dendritic cell,T cell,0.4829,0.5365,0.2591
TGFB1,TGFBR2,Fibroblast,NK cell,0.6239,0.4139,0.2583
