group,names,scores,logfoldchanges,pvals,pvals_adj
0,CCL5,26.10325,4.963223,3.348847295780002e-150,7.36478497287938e-146
0,CD8A,21.75611,4.255734,6.0467620133238525e-105,6.649019509850908e-101
0,HLA-B,21.497072,1.3740387,1.6582546510881613e-102,1.2156112095576948e-98
0,CD7,20.707502,3.223201,2.964374862925933e-95,1.629813299636678e-91
0,ZFP36L2,19.29949,2.2894154,5.424130486483327e-83,2.3857495531748266e-79
1,HSPA1A,14.586068,4.6120977,3.4448783855914975e-48,7.575976545592821e-44
1,DNAJB1,14.4761305,3.8447928,1.7148376175221552e-47,1.885635444227362e-43
1,HSPA1B,13.437418,4.109547,3.649480707597637e-41,2.675312657382908e-37
1,HSPA8,12.6789665,2.5477142,7.734458793405676e-37,4.252405444614441e-33
1,HSPH1,12.47155,2.9773738,1.0672938895520427e-35,4.694385443805705e-32
2,FTL,28.26543,4.765467,9.198544203060456e-176,1.4493094291680651e-171
2,APOC1,28.246891,7.968947,1.5542057053168906e-175,1.4493094291680651e-171
2,CTSB,28.23838,5.5656514,1.9770499670353742e-175,1.4493094291680651e-171
2,CD68,27.920694,5.6816483,1.4963746388185747e-171,8.227067764224523e-168
2,APOE,27.841066,8.477256,1.3818245640547594e-170,6.077817162538454e-167
3,FTH1,15.250818,3.2808692,1.6258220214122142e-52,3.5755077894897415e-48
3,FCER1G,14.705142,4.5415835,5.9745683611555884e-49,6.569635369926685e-45
3,SLC11A1,14.646991,5.178367,1.408161076546692e-48,1.0322759465138285e-44
3,G0S2,14.41017,5.503991,4.466126438408689e-47,2.455476315837097e-43
3,S100A8,13.975271,4.8261905,2.2067227247155778e-44,9.706049232388997e-41
4,HSPA1A,14.31141,4.64036,1.857095085126451e-46,3.0704505651576596e-42
4,DNAJB1,14.28302,3.88885,2.7923340898123494e-46,3.0704505651576596e-42
4,HSPA1B,14.160657,4.521464,1.6048664583701627e-45,1.176474105082554e-41
4,CACYBP,13.633572,3.0290537,2.5289351336001543e-42,1.390408536453365e-38
4,MS4A1,13.473282,4.5728893,2.2465344797606164e-41,9.881157255779095e-38
5,CLDN1,16.604443,7.6260395,6.471833011549364e-62,1.423285515899936e-57
5,KRT6A,16.533165,8.77912,2.1172694162123e-61,2.328149450067045e-57
5,KRT19,16.376102,7.115091,2.8332873664931666e-60,2.0769885254639243e-56
5,CSTA,16.269558,6.653945,1.623255418573247e-59,8.924658291315713e-56
5,PERP,16.232729,5.8911853,2.960028565039627e-59,1.3019389640470296e-55
6,SARAF,17.596354,1.8458383,2.62705131932919e-69,5.777411261468755e-65
6,SPOCK2,16.925335,2.7206664,2.926799741972104e-64,3.218308996272526e-60
6,IL7R,16.738276,3.07092,6.895647759270698e-63,5.05496951739604e-59
6,EEF1A1,16.039785,1.1142871,6.738725167292534e-58,3.704951096977435e-54
6,TPT1,14.462589,0.93240315,2.0879165147403423e-47,6.559637141738516e-44
7,CCL5,19.301384,4.301785,5.228910238200839e-83,1.1499419395851284e-78
7,DNAJB1,15.834218,2.775138,1.8069134087755573e-56,1.986881984289603e-52
7,HSPA1A,15.295462,3.269116,8.197698725748911e-53,6.009459679222336e-49
7,NKG7,15.134701,3.6358957,9.561524306182173e-52,4.205540850831167e-48
7,HSPA1B,14.1337185,3.052058,2.3537888587025736e-45,8.627420763431168e-42
8,SSR4,13.467441,3.579796,2.4314783766263597e-41,5.3473072458766906e-37
8,MZB1,13.287762,8.462365,2.7261046062236498e-40,2.9976246250035252e-36
8,JCHAIN,10.905549,8.569685,1.084367955727958e-27,7.949140027456419e-24
8,IGHA1,10.74446,7.212961,6.2928717488725745e-27,3.4598208875301416e-23
8,DERL3,10.5075655,7.2045827,7.972473788891935e-26,3.5066128713062287e-22
9,IFITM3,8.894457,4.5795403,5.870576821100672e-19,1.2910572544964598e-14
9,TM4SF1,8.804122,6.65739,1.3188145103986182e-18,1.4501684356343205e-14
9,MGP,8.708472,8.731345,3.0799721140436762e-18,2.2578248910682846e-14
9,TIMP3,8.628117,6.866665,6.237034563913842e-18,2.956173271586378e-14
9,IGFBP7,8.619563,8.391092,6.721019624377906e-18,2.956173271586378e-14
10,CST3,12.690649,5.2703013,6.663129321878266e-37,1.465355400467468e-32
10,CD74,12.132431,3.8672473,7.110695759578197e-34,7.818921057232186e-30
10,HLA-DRA,12.032141,4.383079,2.408334306427017e-33,1.7654696022314322e-29
10,HLA-DPA1,11.864991,3.828368,1.7992114906902822e-32,9.892064775815172e-29
10,HLA-DRB1,11.554909,3.5880158,6.972128323062622e-31,3.0666209216158638e-27
11,TPSAB1,15.317119,12.420186,5.876538133384481e-53,1.292368266293915e-48
11,TPSB2,15.1232395,12.221676,1.1380373964413117e-51,1.2513859211268664e-47
11,CPA3,14.936934,12.569103,1.8949482455862596e-50,1.3891233938977674e-46
11,SLC24A3,14.160265,10.260358,1.6138516238463492e-45,8.872956227907228e-42
11,TPSD1,13.800991,12.6087265,2.5137229316560347e-43,1.1056358942595903e-39
12,SLPI,11.691013,8.515784,1.416863505922851e-31,3.115966222225534e-27
12,WFDC2,11.112409,11.569875,1.0917411625651877e-28,1.2004785823566803e-24
12,AGR3,10.38918,13.037105,2.777304955752476e-25,2.035949686230282e-21
12,AGR2,10.318248,8.275071,5.8276729416857145e-25,3.2040545833388058e-21
12,SFTPB,10.125416,12.565213,4.2616499725581794e-24,1.8744441239299898e-20
13,CD79A,20.62314,5.3933687,1.701508284016786e-94,3.741957018209716e-90
13,MS4A1,20.328987,5.805809,7.125876397153493e-92,7.835613686309981e-88
13,CD37,19.174728,2.598619,6.018159095576229e-82,4.411711827663748e-78
13,RPS23,18.294481,1.3014815,9.156952150571404e-75,5.034492292384158e-71
13,CD74,17.890524,3.3313239,1.3979011184893776e-71,6.1485282795636785e-68
14,GAPDH,12.488492,3.8509536,8.627310197399293e-36,1.8973180586120525e-31
14,KRT19,11.9329405,6.785078,7.970740839118844e-33,2.3763839076112394e-29
14,KRT5,11.926185,8.017532,8.644539496585083e-33,2.3763839076112394e-29
14,NTS,11.891413,7.9151044,1.3116836908398608e-32,2.922649302268039e-29
14,TPI1,11.7971325,3.4114134,4.0384080518560704e-32,6.831743836647592e-29
15,MT-CO1,10.453148,1.793976,1.4174063188592463e-25,5.195266627392091e-22
15,MT-CO2,10.29599,1.6575216,7.345968432854627e-25,1.795028197503766e-21
15,MALAT1,9.463832,1.8717439,2.968596564703656e-21,2.6114150260385122e-18
15,FYN,9.340084,3.178382,9.625804169223562e-21,7.840395751465354e-18
15,MT-ATP6,9.221135,1.7523615,2.93970910218446e-20,2.1189283561134646e-17
16,IGFBP7,8.80847,8.798242,1.2686544932495704e-18,2.790024961554455e-14
16,IFITM3,8.59564,4.9332685,8.280172577648e-18,5.610321680196901e-14
16,COL6A2,8.592821,9.411002,8.485934826346843e-18,5.610321680196901e-14
16,CALD1,8.549832,8.099061,1.2326707532952379e-17,5.610321680196901e-14
16,SPARC,8.545886,8.555673,1.2755369407504776e-17,5.610321680196901e-14
