group,names,scores,logfoldchanges,pvals,pvals_adj
Clone_1,LYZ,31.364233,7.6433043,6.223735654011568e-216,1.3687239450302238e-211
Clone_1,CD68,31.291924,6.061536,6.009665495397196e-215,6.608228178738757e-211
Clone_1,IFI30,31.187517,6.104474,1.5732928195496373e-213,1.1533285229178542e-209
Clone_1,CST3,31.064957,6.155862,7.166226292771136e-212,3.9399912157655705e-208
Clone_1,TYROBP,31.017447,6.354654,3.136467967044697e-211,1.3795440706249396e-207
Clone_1,FTL,30.757298,4.3685093,9.767158429776016e-208,3.5799891364605695e-204
Clone_1,PSAP,30.661003,4.6625996,1.885378169469167e-206,5.923319528995131e-203
Clone_1,FCER1G,30.540142,5.995246,7.643956511148557e-205,2.1013236449147385e-201
Clone_1,AIF1,30.402285,6.1324353,5.123975777902924e-203,1.252071947862679e-199
Clone_1,CTSB,29.812037,5.204088,2.7277816999070022e-195,5.9989375144354795e-192
Clone_1,PLAUR,29.783802,5.4049582,6.3331743799571354e-195,1.2661742814910665e-191
Clone_1,GPX1,29.642082,3.7749314,4.290048969190172e-193,7.862229744202523e-190
Clone_1,NPC2,29.571434,4.246771,3.482442185958328e-192,5.891220657968889e-189
Clone_1,CTSL,29.40569,6.5296,4.644846175780544e-190,7.296389792697552e-187
Clone_1,CTSZ,28.90405,4.7692018,1.0618853034085065e-183,1.4992461624604267e-180
Clone_1,CTSS,28.903124,4.120362,1.0907574845110417e-183,1.4992461624604267e-180
Clone_1,FCGRT,28.879406,5.061854,2.1660197165282993e-183,2.802065035640609e-180
Clone_1,GRN,28.803467,4.4510612,1.940853601422353e-182,2.371291800137799e-179
Clone_1,SERPINA1,28.665224,5.3753014,1.0357106855301971e-180,1.198807862956847e-177
Clone_1,BRI3,28.472788,3.4863489,2.5455318475094784e-178,2.799066819521423e-175
Clone_1,CD63,28.32848,3.6140866,1.5413610755613076e-176,1.6141720368449656e-173
Clone_1,FTH1,28.280043,3.0090277,6.082129588346018e-176,6.0799179048593464e-173
Clone_1,SPI1,28.012287,4.6718965,1.1512383504257961e-172,1.1007840783723524e-169
Clone_1,HLA-DRA,28.00514,4.6091194,1.406689166600576e-172,1.2889961729949947e-169
Clone_1,HLA-DRB1,27.849825,3.716561,1.0824243484231246e-170,9.521870508208544e-168
Clone_1,CTSD,27.710344,4.3770456,5.2402743053490857e-169,4.43246586627835e-166
Clone_1,MGAT1,27.248646,3.818824,1.724413863835514e-163,1.4045670256840973e-160
Clone_1,CD14,27.212917,6.5486245,4.568256555325327e-163,3.5880392201683786e-160
Clone_1,CSTB,27.159304,3.636776,1.966092453542003e-162,1.4909760426998528e-159
Clone_1,TIMP2,26.95609,4.87657,4.8396063687400475e-160,3.547754108711038e-157
Clone_1,DOCK4,26.911324,4.457559,1.618773647912205e-159,1.1483893569317811e-156
Clone_1,RNF130,26.814217,3.9283843,2.2061178666529528e-158,1.5161545038572418e-155
Clone_1,MS4A6A,26.750214,6.34344,1.2277613619602875e-157,8.182099355221407e-155
Clone_1,SOD2,26.62518,3.4550533,3.469898568126503e-156,2.2444120385364133e-153
Clone_1,MS4A7,26.438074,5.413024,5.003813445839153e-154,3.1441104371684186e-151
Clone_1,HLA-DPA1,26.411924,3.6331015,9.99614768090382e-154,6.106535549956578e-151
Clone_1,TYMP,26.335522,3.3056133,7.5197041108413e-153,4.4695495352870774e-150
Clone_1,C1orf162,26.299173,4.561035,1.9598796129914823e-152,1.1342545381291757e-149
Clone_1,HLA-DRB5,26.19662,3.4757965,2.9036987694899835e-151,1.6373882907339413e-148
Clone_1,GABARAP,26.181442,2.419287,4.32371811759394e-151,2.3286144311374214e-148
Clone_1,LST1,26.181288,4.527234,4.341269174092137e-151,2.3286144311374214e-148
Clone_1,S100A11,26.147026,3.3136723,1.0653568295536889e-150,5.5784112846535065e-148
Clone_1,CXCL16,26.102528,4.158081,3.4126644050765154e-150,1.7453794324754122e-147
Clone_1,LILRB4,25.981512,6.4174633,8.012818240449409e-149,4.004952244180986e-146
Clone_1,TMSB10,25.942654,1.6784724,2.2007191269817797e-148,1.07551588979074e-145
Clone_1,GRINA,25.905727,3.2853606,5.74022664722407e-148,2.744327487516342e-145
Clone_1,TMEM176B,25.866985,5.1190815,1.5672115366017503e-147,7.333216194243764e-145
Clone_1,ITGAX,25.853504,4.4814043,2.222045496798298e-147,1.0180671784497536e-144
Clone_1,CD74,25.81001,3.6936367,6.845634515380779e-147,3.072432535964369e-144
Clone_1,GLUL,25.771193,3.6434822,1.865821722661644e-146,8.206630264954975e-144
Clone_2,RPS8,22.458164,1.0870123,1.0649746440633244e-111,1.1710461186120314e-107
Clone_2,RPL39,22.196753,1.1147901,3.691715120595473e-109,2.706273297737855e-105
Clone_2,RPL35A,21.758427,1.2352029,5.748703975322081e-105,3.16063744563208e-101
Clone_2,RPL32,21.64774,1.079355,6.383630064206362e-104,2.8077758474405264e-100
Clone_2,RPL41,21.582888,1.0293887,2.601102801848404e-103,9.533908803041684e-100
Clone_2,RPS21,21.523447,1.1490978,9.391507569231964e-103,2.950543349464991e-99
Clone_2,RPL13,21.461315,0.9754449,3.5802954602401855e-102,9.84223222020027e-99
Clone_2,RPS18,21.45097,1.1138847,4.472260583424051e-102,1.092821719451797e-98
Clone_2,RPS12,21.285357,1.0803125,1.5516086998378483e-100,3.412297852683396e-97
Clone_2,RPL36,21.22472,0.97336406,5.646052403277491e-100,1.1287998586625325e-96
Clone_2,RPL18A,21.200682,1.0981903,9.412334627223538e-100,1.7249671926825006e-96
