leiden,sig_proliferation,sig_apoptosis_resistance,sig_angiogenesis,sig_invasion_metastasis,sig_EMT_mesenchymal,sig_EMT_epithelial,sig_stemness,sig_hypoxia,sig_DDR,sig_glycolysis
0,0.04532702123737101,0.0664865969145435,-0.09598433814959498,0.20116521973523796,0.3112547167033268,-0.09781105396139657,-0.05277135484101222,0.151842977971279,-0.005785046020374593,0.4207238684895591
1,0.014776746652147791,0.07363387662727194,-0.09432026543263647,0.13208580571174353,0.1436684175811514,-0.08065724308426317,-0.02882115781311411,0.025330949946566744,0.018855099714093843,0.32717909795743927
2,-0.03277993074658275,0.19042276581006548,0.1749984958766267,0.5142704096929378,0.4718460663029363,-0.12790513236150733,0.08474014108512477,0.32698002965720885,-0.037982383055333295,0.7805745367550411
3,-0.03249445824963706,0.2570532247830951,0.163106154909404,0.3473033301833461,0.42262582334965926,-0.09918489261008714,0.0656466754867993,0.3916307017121996,-0.02785307041195785,0.8849271206061045
4,-0.01104168772118763,0.07883727195347782,-0.04677451619267029,0.019953512409213912,0.0512546002433725,-0.1056415850224453,0.020339876712365295,-0.1282618158477024,0.03745577700343112,0.10344539039921992
5,-0.02094055014997721,-0.029633120832443235,-0.04773063580691204,-0.1363688375990477,-0.20438063407274107,1.144766548388345,0.12369454895174224,0.7275643657684325,-0.009831149389594793,1.2357651180267333
6,0.020458073131997007,0.09764722649338602,-0.10567546094397925,0.1878536545138864,0.26045421679690006,-0.08862659677574396,-0.013849486476092887,0.08559429444732337,-0.00042786237083632377,0.39626330101695556
7,0.013362113665224929,0.07429340180002078,-0.08682928218406039,0.12022938534499532,0.21823921162540313,-0.0919513437233618,-0.04430368959776357,0.018084975544250374,0.03021093894392897,0.24669720105149526
8,0.01387712023707468,0.21082127080687244,-0.022836346111218892,0.1281341119680037,0.14743587122489676,-0.06267920337590921,-0.012996258383740498,-0.0065218110627202844,-0.0030213344708752256,0.25398685465108106
9,-0.07163728313520551,0.12181660646200179,0.542285878064871,0.31890785584015213,0.43374388995860574,-0.07361098213742177,0.07026569233374585,0.07108790071681143,-0.050679896713367534,0.5493714267760516
10,0.011838985787520944,0.11695258972678386,0.09013435835149755,0.40263610335392624,0.29216411568405143,-0.13380115116546012,0.05148137692809957,0.23020285519915568,-0.01718601914688615,0.7718687969194332
11,-0.033883693939373814,0.14535257164833476,0.08386355234157646,0.38750893819938453,0.5214520533234404,-0.07928064292350424,0.008642003476486002,0.03491470411235904,-0.024798835080241822,0.2979619840928066
12,-0.09284772757130365,0.048958443621794384,0.02079859493547604,-0.0456470423166502,-0.06367834649803054,1.1800937337250936,0.014492361888009815,0.3181707322597504,-0.04761370538600854,0.7279062341401974
13,-0.008460258089421645,0.08444018654318497,-0.08346492856871161,0.0738467781328848,0.16656286122287525,-0.11480612282272547,-0.04969869185985896,-0.13289609355860002,0.03837550563179299,0.06439959215503906
14,0.10820638427680189,-0.147361116104415,-0.01932594191352439,-0.1373171078738819,-0.14333720251172588,0.8461350715934457,0.11447055552117401,0.6424446938254615,-0.00040935946130133354,1.6397314813787287
15,0.01670785660460844,0.1950931264990467,-0.08685379750438957,0.07135150476115264,0.30699675723379877,-0.07386178921844999,-0.060338340896626055,-0.07167685302637392,0.03916814627428032,0.0816315962702541
16,-0.061330119603210026,0.08972698323520613,0.066961268278505,0.5696297825263639,0.7460347060234724,0.009507886377381695,0.09730358186339688,0.11974057647917007,-0.03862743349302383,0.6544377217469391
