leiden,immune_subtype,count
0,CD4_memory,77
0,CD4_naive,8
0,CD8_effector,187
0,CD8_exhausted,62
0,CD8_memory,10
0,Macro_M1,1
0,Macro_M2,2
0,NK_cytotoxic,13
0,Th1,16
0,Th17,3
0,Th2,3
0,Treg,3
0,pDC,1
1,CD4_memory,45
1,CD4_naive,20
1,CD8_exhausted,4
1,CD8_memory,6
1,Th1,1
1,Th2,4
1,Treg,19
1,pDC,2
2,CD4_memory,14
2,CD8_effector,1
2,Immune_unassi,2
2,Macro_M1,32
2,Macro_M2,262
2,NK_cytotoxic,2
2,Treg,5
2,cDC2,4
2,pDC,1
3,CD4_memory,31
3,CD4_naive,1
3,CD8_effector,1
3,CD8_exhausted,1
3,Immune_unassi,5
3,Macro_M1,15
3,Macro_M2,32
3,NK_cytotoxic,2
3,cDC1,2
3,cDC2,7
3,pDC,5
4,CD4_memory,1
4,CD4_naive,14
4,CD8_effector,2
4,CD8_memory,2
4,Immune_unassi,4
4,Macro_M1,10
4,Th1,2
4,Th17,10
4,Treg,1
4,cDC1,31
4,cDC2,5
4,pDC,21
6,CD4_memory,101
6,CD4_naive,56
6,CD8_effector,3
6,CD8_exhausted,17
6,CD8_memory,10
6,NK_cytotoxic,1
6,Th17,1
6,Th2,5
6,Treg,49
6,cDC1,1
7,CD4_memory,44
7,CD4_naive,7
7,CD8_effector,113
7,CD8_exhausted,25
7,CD8_memory,2
7,Immune_unassi,1
7,Macro_M2,1
7,NK_cytotoxic,21
7,Th1,16
7,Th17,3
7,Th2,2
7,Treg,3
7,cDC1,3
7,pDC,2
8,CD4_memory,6
8,CD4_naive,3
8,CD8_effector,6
8,CD8_exhausted,1
8,CD8_memory,1
8,Immune_unassi,14
8,Macro_M1,2
8,Macro_M2,6
8,Th17,2
8,Th2,1
8,Treg,2
8,pDC,23
9,cDC1,1
10,CD4_memory,6
10,CD4_naive,2
10,CD8_effector,1
10,CD8_memory,2
10,Macro_M1,8
10,Macro_M2,12
10,Th17,1
10,cDC1,14
10,cDC2,23
10,pDC,1
11,CD4_memory,54
11,CD8_exhausted,3
11,Immune_unassi,4
11,Macro_M2,2
11,Th1,1
11,Th2,5
11,Treg,5
11,cDC2,5
11,pDC,2
12,CD8_effector,1
12,Immune_unassi,1
13,CD4_memory,1
13,CD4_naive,29
13,CD8_effector,1
13,CD8_exhausted,1
13,CD8_memory,4
13,Immune_unassi,11
13,Macro_M1,6
13,Macro_M2,1
13,Th1,1
13,Th17,34
13,Treg,2
13,cDC1,75
13,cDC2,4
13,pDC,62
14,Immune_unassi,1
14,NK_cytotoxic,1
15,CD4_memory,7
15,CD4_naive,1
15,CD8_effector,9
15,CD8_exhausted,6
15,CD8_memory,2
15,Macro_M2,5
15,NK_cytotoxic,3
15,Th1,1
15,Th17,1
15,Th2,1
15,Treg,2
16,Immune_unassi,3
16,pDC,1
