cluster,term,overlap,gene_set_size,pval,genes,padj
16,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6,9,8.628202368472617e-11,"ACTA2,COL1A1,COL3A1,FN1,SPARC,TAGLN",3.6238449947584994e-09
7,HALLMARK_INTERFERON_GAMMA_RESPONSE,5,13,1.2909328162633596e-07,"B2M,HLA-A,HLA-B,HLA-C,IRF1",1.8073059427687036e-06
14,HALLMARK_HYPOXIA,5,13,1.2909328162633596e-07,"GAPDH,GPI,PGK1,PKM,TPI1",1.8073059427687036e-06
0,HALLMARK_INTERFERON_GAMMA_RESPONSE,4,13,7.176018484933984e-06,"B2M,HLA-A,HLA-B,HLA-C",7.534819409180683e-05
9,HALLMARK_ANGIOGENESIS,3,8,5.79314435741717e-05,"COL4A1,FLT1,PECAM1",0.00048662412602304227
16,HALLMARK_ANGIOGENESIS,2,8,0.0028484910476606383,"COL4A1,THBS1",0.01993943733362447
7,HALLMARK_INFLAMMATORY_RESPONSE,2,12,0.006535622294314968,"CCL5,IRF1",0.03580319131314817
7,HALLMARK_TNFA_SIGNALING_VIA_NFKB,2,13,0.007672112424246038,"JUNB,TNFAIP3",0.03580319131314817
0,HALLMARK_MYC_TARGETS_V1,2,13,0.007672112424246038,"LDHA,NPM1",0.03580319131314817
11,HALLMARK_ANGIOGENESIS,1,8,0.07984860756907677,VEGFA,0.1265137756069711
3,HALLMARK_ANGIOGENESIS,1,8,0.07984860756907677,VEGFA,0.1265137756069711
15,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,13,0.08897113440514184,TNFAIP3,0.1265137756069711
11,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1,9,0.08937497046824774,VIM,0.1265137756069711
4,HALLMARK_P53_PATHWAY,1,11,0.10813573529880123,PMAIP1,0.1265137756069711
7,HALLMARK_P53_PATHWAY,1,11,0.10813573529880123,BTG2,0.1265137756069711
8,HALLMARK_P53_PATHWAY,1,11,0.10813573529880123,GADD45A,0.1265137756069711
1,HALLMARK_P53_PATHWAY,1,11,0.10813573529880123,BTG2,0.1265137756069711
10,HALLMARK_APOPTOSIS,1,12,0.11737210920829988,BID,0.1265137756069711
11,HALLMARK_APOPTOSIS,1,12,0.11737210920829988,LMNA,0.1265137756069711
14,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1,12,0.11737210920829988,ATP5F1B,0.1265137756069711
0,HALLMARK_INFLAMMATORY_RESPONSE,1,12,0.11737210920829988,CCL5,0.1265137756069711
4,HALLMARK_APOPTOSIS,1,12,0.11737210920829988,PMAIP1,0.1265137756069711
9,HALLMARK_INFLAMMATORY_RESPONSE,1,12,0.11737210920829988,ICAM1,0.1265137756069711
4,HALLMARK_MYC_TARGETS_V1,1,13,0.1265137756069711,HSPD1,0.1265137756069711
0,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,13,0.1265137756069711,TNFAIP3,0.1265137756069711
4,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,13,0.1265137756069711,HLA-DRA,0.1265137756069711
3,HALLMARK_HYPOXIA,1,13,0.1265137756069711,VEGFA,0.1265137756069711
4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,13,0.1265137756069711,CD83,0.1265137756069711
2,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,13,0.1265137756069711,HLA-DRA,0.1265137756069711
0,HALLMARK_HYPOXIA,1,13,0.1265137756069711,LDHA,0.1265137756069711
1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,13,0.1265137756069711,JUNB,0.1265137756069711
1,HALLMARK_MYC_TARGETS_V1,1,13,0.1265137756069711,HSPD1,0.1265137756069711
11,HALLMARK_HYPOXIA,1,13,0.1265137756069711,VEGFA,0.1265137756069711
11,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,13,0.1265137756069711,NFKBIA,0.1265137756069711
10,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,13,0.1265137756069711,CD83,0.1265137756069711
10,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,13,0.1265137756069711,HLA-DRA,0.1265137756069711
6,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,13,0.1265137756069711,JUNB,0.1265137756069711
6,HALLMARK_MYC_TARGETS_V1,1,13,0.1265137756069711,NPM1,0.1265137756069711
7,HALLMARK_MYC_TARGETS_V1,1,13,0.1265137756069711,HSPD1,0.1265137756069711
13,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,13,0.1265137756069711,CD83,0.1265137756069711
16,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,13,0.1265137756069711,IER3,0.1265137756069711
13,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,13,0.1265137756069711,HLA-DRA,0.1265137756069711
