gene,pseudotime_correlation
CD9,0.7228776
HLA-B,-0.6408715
CSTA,0.6359631
KRT19,0.62337893
KRT6A,0.6193309
S100A2,0.6175647
KRT5,0.6137628
FXYD3,0.60287696
KRT15,0.5952203
CALML3,0.5902243
S100A14,0.5882881
MIR205HG,0.5813489
SFN,0.58069736
SPINT2,0.5747089
PTHLH,0.57268316
HLA-A,-0.5715606
IGFBP2,0.5696468
PITX1,0.56635046
NTS,0.5619874
LINC00511,0.5614755
S100A9,0.5550385
DAPL1,0.55159736
JUP,0.54709065
CLDN1,0.54336417
LTBR,0.5406945
TRIM29,0.53835565
S100A16,0.53531265
HLA-C,-0.535112
PTPRC,-0.53206235
S100A8,0.5269893
