,cell_type,n_cells,PD-1,PD-1_pct,PD-L1,PD-L1_pct,PD-L2,PD-L2_pct,CTLA-4,CTLA-4_pct,LAG-3,LAG-3_pct,TIM-3,TIM-3_pct,TIGIT,TIGIT_pct,VISTA,VISTA_pct,IDO1,IDO1_pct,B7-H3,B7-H3_pct
0,T cell,788,0.5392,30.58,0.0478,3.55,0.0104,0.89,0.5365,30.33,0.4216,24.37,0.1199,7.87,0.6787,37.69,0.4997,31.35,0.0026,0.25,0.0,0.0
1,Myeloid/Macro,491,0.059,9.16,0.0664,12.02,0.0553,11.2,0.055,8.15,0.0606,9.57,0.5858,66.6,0.057,8.76,0.6281,63.14,0.0737,5.91,0.125,22.0
2,B cell,316,0.0656,5.38,0.0299,3.16,0.0065,0.63,0.0273,1.9,0.0,0.0,0.011,1.27,0.0489,3.8,0.3904,29.11,0.0081,0.63,0.0,0.0
3,Tumor epithelial,204,0.0161,2.45,0.0703,13.24,0.0031,1.47,0.0064,1.47,0.0386,2.94,0.0063,1.47,0.0146,0.98,0.123,16.67,0.5127,39.71,0.1864,25.49
4,NK cell,201,0.3047,17.91,0.0281,1.99,0.0065,0.5,0.2844,15.92,0.5403,29.35,0.3108,16.92,0.5583,31.84,0.4112,24.38,0.0,0.0,0.0,0.0
5,Plasma cell,91,0.083,7.69,0.0446,6.59,0.0177,3.3,0.0805,5.49,0.1382,16.48,0.0159,3.3,0.2026,15.38,0.3068,35.16,0.0,0.0,0.0028,1.1
6,Endothelial,43,0.1018,6.98,0.1186,9.3,0.0,0.0,0.162,11.63,0.0491,4.65,0.0452,2.33,0.1492,9.3,0.7623,55.81,0.2344,9.3,0.178,13.95
7,Mast cell,92,0.0416,2.17,0.2397,17.39,0.0393,3.26,0.0353,2.17,0.0429,2.17,0.3156,21.74,0.0428,2.17,0.5897,40.22,0.0059,1.09,0.1505,14.13
8,Unknown,105,0.2765,14.29,0.0,0.0,0.0,0.0,0.2608,16.19,0.2282,11.43,0.0815,3.81,0.4265,20.95,0.3548,20.0,0.0486,1.9,0.0173,0.95
9,Dendritic cell,20,0.0816,10.0,0.0295,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668,15.0,0.0,0.0,0.3324,25.0,0.0613,5.0,0.0,0.0
10,Fibroblast,27,0.0752,3.7,0.0113,3.7,0.0,0.0,0.0202,3.7,0.0366,7.41,0.0232,7.41,0.0886,3.7,0.4,37.04,0.0,0.0,0.2241,29.63
